Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alexander Molly Q.S.;Blais Marguerite P.L.Q./Q.L.P.;Boulanger Louis-Philippe C.A.Q.-É.F.L.;Forest Étienne O.N. - P.I.Q.;Fournier Véronique P.Q.;Kruzynski Anna P.N.;Sanchez Jairo Gaston B.P.;Sweeney Sharon P.V.Q./G.P.Q.;B.V.;B.R.;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;102;;107;302;19;101;10;0;23;0;0;3;156;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;102;;108;321;28;118;10;1;15;1;5;3;181;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;102;;109A;244;7;65;5;2;7;1;0;3;90;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;102;;109B;244;14;77;8;0;15;1;1;2;118;5;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;102;;110;297;19;109;11;0;20;2;1;1;163;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;102;;111;367;8;143;10;1;26;0;1;4;193;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;102;;112;289;8;93;18;0;21;0;1;3;144;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;102;;113;287;17;93;22;0;10;1;0;1;144;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;102;;114;327;14;130;16;0;30;0;0;3;193;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;102;;115;295;20;104;17;2;26;0;0;1;170;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;102;;116;309;3;114;13;0;14;1;0;3;148;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;102;;117;338;7;133;9;1;17;0;0;6;173;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;118;362;19;129;11;1;12;0;0;0;172;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;119;323;10;117;11;1;17;0;0;1;157;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;120;290;11;132;7;6;0;2;0;1;159;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;121;300;5;142;6;0;8;1;0;1;163;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;122;319;8;133;7;0;10;0;1;4;163;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;123;457;3;173;7;0;7;1;1;5;197;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;124;298;3;123;5;0;6;1;0;5;143;6;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;125;364;12;116;19;0;28;1;0;1;177;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;126;284;10;78;9;0;15;1;0;1;114;4;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;127;335;15;104;22;0;22;1;0;0;164;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;128;327;11;121;14;2;15;1;1;5;170;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;129;300;5;118;23;0;20;1;1;1;169;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;130;311;5;121;22;0;24;0;1;3;176;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;131;340;7;132;21;0;21;0;0;1;182;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;132;304;16;89;22;3;19;1;0;2;152;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;133;323;10;120;15;0;11;0;1;2;159;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;134A;292;11;102;28;0;24;0;0;4;169;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;134B;289;22;102;34;3;16;1;1;5;184;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;134C;342;11;123;43;3;32;0;0;5;217;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;135;256;5;90;10;1;9;1;1;2;119;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;136A;249;19;98;28;0;18;2;0;1;166;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;136B;273;11;100;28;2;19;0;2;1;163;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;137;421;33;131;39;1;27;1;0;2;234;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;138;338;7;122;17;1;21;2;2;5;177;2;
