Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Frédéric P.N.;Chabot Isabelle P.L.Q./Q.L.P.;Lebel Daniel P.Q.;Phénix Alexandre O.N. - P.I.Q.;Picard François É.A.P. - P.C.Q.;Schneeberger Sébastien C.A.Q.-É.F.L.;Soulard Francis Q.S.;B.V.;B.R.;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;6;;96;618;1;38;33;2;0;32;11;117;6;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;6;;97;413;3;19;45;1;6;42;19;135;1;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;6;;98;423;4;29;60;0;1;58;23;175;1;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;6;;99;399;4;23;51;0;3;66;18;165;6;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;7;;100;360;0;34;42;4;0;113;17;210;8;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;7;;101;356;3;53;44;0;0;87;9;196;5;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;7;;102;359;1;37;70;1;1;73;8;191;0;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;7;;103;366;1;48;39;1;0;105;6;200;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;7;;104;349;1;42;55;3;4;79;8;192;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;7;;105;367;3;40;49;3;3;70;11;179;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;8;;106;391;4;50;42;0;2;32;11;141;6;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;8;;107;465;2;53;50;1;1;64;12;183;8;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;8;;108;380;4;25;47;1;1;59;14;151;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;8;;109;403;2;48;44;2;0;57;10;163;8;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;8;;110;408;1;65;52;1;1;91;17;228;0;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;8;;111;396;0;60;37;0;2;89;9;197;5;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;8;;112;404;5;34;52;3;4;67;12;177;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;8;;113;406;6;35;68;0;1;96;16;222;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;8;;114;392;5;30;62;1;0;85;27;210;1;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;8;;115;392;3;26;55;0;2;103;18;207;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;9;;116;400;1;52;64;0;2;109;5;233;7;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;9;;117;392;2;23;64;2;0;100;15;206;2;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;9;;118;402;2;27;60;1;1;105;12;208;2;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;9;;119;392;2;30;43;0;1;101;27;204;5;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;9;;120;402;2;37;60;0;3;111;12;225;5;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;9;;121;399;3;26;66;4;0;90;13;202;4;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;9;;122;396;2;55;65;1;0;92;8;223;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;9;;123;384;1;43;67;0;1;93;10;215;4;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;9;;124;385;3;34;40;1;1;98;15;192;7;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;9;;125;388;4;34;40;0;2;74;13;167;5;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;9;;126;379;2;31;58;1;0;91;13;196;4;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;9;;127;388;3;39;64;2;0;95;13;216;1;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;9;;128;389;3;21;60;0;0;90;13;187;3;
