Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dion Marc Q.S.;Dubois Jean-René P.Q.;Lachapelle Marjolaine O.N. - P.I.Q.;Laquerre Guillaume É.A.P. - P.C.Q.;Martel Donald C.A.Q.-É.F.L.;Vallée Denis P.L.Q./Q.L.P.;B.V.;B.R.;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Célestin, m;1;;69;241;14;33;1;1;90;32;171;2;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Célestin, m;1;;70;252;12;22;3;2;58;31;128;1;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Célestin, vl;1;;71;287;12;40;5;3;105;40;205;7;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Célestin, vl;1;;72;324;21;34;1;1;140;47;244;10;
329;Nicolet-Bécancour;2014-04-07;G;Grand-Saint-Esprit, m;1;;73;180;17;21;3;0;47;34;122;2;
329;Nicolet-Bécancour;2014-04-07;G;Grand-Saint-Esprit, m;1;;74;200;20;27;1;3;46;39;136;6;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Léonard-d'Aston, m;1;;75;294;14;35;1;0;75;32;157;2;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Léonard-d'Aston, m;1;;76;305;11;36;0;2;85;45;179;4;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Léonard-d'Aston, m;1;;77;266;6;16;2;1;58;24;107;3;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Léonard-d'Aston, m;1;;78;311;10;33;2;2;62;37;146;1;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Léonard-d'Aston, m;1;;79;300;7;28;3;3;86;35;162;4;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Léonard-d'Aston, m;1;;80;299;12;45;3;3;69;36;168;2;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Perpétue, p;1;;81;245;8;29;2;1;76;41;157;6;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Perpétue, p;1;;82;269;7;34;1;2;86;49;179;3;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Perpétue, p;1;;83;233;5;35;2;2;60;44;148;3;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Brigitte-des-Saults, p;1;;84;298;16;38;7;3;84;64;212;4;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Brigitte-des-Saults, p;1;;85;303;16;34;0;2;79;52;183;1;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Zéphirin-de-Courval, p;1;;86;268;25;26;3;2;68;57;181;4;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Zéphirin-de-Courval, p;1;;87;262;16;41;2;2;69;56;186;5;
329;Nicolet-Bécancour;2014-04-07;G;La Visitation-de-Yamaska, m;1;;88;260;23;37;7;0;71;55;193;4;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Monique, m;1;;89;192;17;23;1;0;51;39;131;1;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Monique, m;1;;90;268;19;29;3;0;76;47;174;1;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;1;;91;336;16;42;3;3;56;47;167;2;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;1;;92;314;28;34;2;0;55;38;157;0;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;1;;93;394;44;49;5;4;58;51;211;3;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;1;;94;410;23;33;1;3;56;45;161;0;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;1;;95;317;29;37;8;2;63;37;176;4;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;1;;96;348;35;31;2;5;39;22;134;7;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;1;;97;340;19;19;3;1;21;29;92;2;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;1;;98;406;20;35;2;0;54;46;157;5;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;1;;99;335;25;17;1;0;23;38;104;3;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;1;;100;310;31;48;0;1;71;28;179;2;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;2;;101;288;26;28;2;0;39;38;133;3;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;2;;102;375;22;21;4;2;48;46;143;3;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;2;;103;293;16;51;3;2;60;44;176;4;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;2;;104;297;20;36;4;0;69;40;169;2;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;2;;105;369;39;38;2;0;91;60;230;6;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;2;;106;301;19;31;1;0;71;38;160;1;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;2;;107A;264;10;26;4;0;60;25;125;2;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;2;;107B;188;12;16;0;4;25;25;82;2;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;2;;108;297;21;27;3;1;57;46;155;1;
329;Nicolet-Bécancour;2014-04-07;G;Nicolet, v;2;;109;301;30;23;7;2;56;63;181;5;
329;Nicolet-Bécancour;2014-04-07;G;Baie-du-Febvre, m;1;;110;265;11;59;2;1;54;50;177;6;
329;Nicolet-Bécancour;2014-04-07;G;Baie-du-Febvre, m;1;;111;291;23;37;5;1;78;52;196;7;
