Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bissonnette Marc B.P.;Breton Daniel P.Q.;Klisko Anna P.L.Q./Q.L.P.;Lachapelle Serge P.M.L.Q.;Massé Manon Q.S.;Payne Nic O.N. - P.I.Q.;Thauvette Patrick C.A.Q.-É.F.L.;Wiseman Stewart P.V.Q./G.P.Q.;B.V.;B.R.;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;167;;71;305;0;35;38;0;67;1;13;3;157;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;167;;72;305;0;64;43;0;78;1;15;3;204;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;167;;73;292;1;34;48;0;28;1;16;3;131;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;167;;74;336;0;51;56;1;70;0;17;7;202;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;168;;75;300;2;45;47;0;38;1;12;2;147;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;168;;76;321;0;73;31;1;30;1;11;0;147;4;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;168;;77;394;2;47;87;0;61;0;26;5;228;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;168;;78;280;0;25;58;0;67;3;9;5;167;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;168;;79;275;1;36;41;1;30;3;12;3;127;4;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;168;;80;308;0;66;30;0;73;2;8;1;180;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;168;;81;313;0;53;48;0;74;1;12;4;192;6;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;168;;82;336;0;33;63;0;82;1;22;4;205;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;168;;83;286;1;37;33;0;59;1;13;2;146;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;168;;84;396;0;35;61;0;77;1;8;5;187;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;169;;85;316;0;29;79;0;88;1;9;7;213;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;169;;86;271;0;17;67;0;54;1;8;5;152;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;169;;87;335;0;16;92;2;60;1;13;7;191;2;
