Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Gélineau Jacques Q.S.;Méthot Laurence P.L.Q./Q.L.P.;Pinard Christine C.A.Q.-É.F.L.;Richard Lorraine P.Q.;Rivard Yan O.N. - P.I.Q.;B.V.;B.R.;
745;Duplessis;2014-04-07;G;Sept-Îles, v;8;;96;347;9;59;30;74;1;173;3;
745;Duplessis;2014-04-07;G;Sept-Îles, v;9;;97;252;9;24;13;52;10;108;4;
745;Duplessis;2014-04-07;G;Sept-Îles, v;9;;98;234;9;44;19;47;3;122;2;
745;Duplessis;2014-04-07;G;Sept-Îles, v;9;;99;239;1;43;23;63;2;132;1;
745;Duplessis;2014-04-07;G;Sept-Îles, v;9;;100;251;9;41;32;39;2;123;1;
745;Duplessis;2014-04-07;G;Sept-Îles, v;9;;101A;236;10;37;27;60;3;137;1;
745;Duplessis;2014-04-07;G;Sept-Îles, v;9;;101B;264;2;53;21;51;3;130;4;
745;Duplessis;2014-04-07;G;Sept-Îles, v;9;;102;390;6;74;34;84;7;205;7;
745;Duplessis;2014-04-07;G;Sept-Îles, v;9;;103;256;18;44;28;48;5;143;4;
745;Duplessis;2014-04-07;G;Sept-Îles, v;9;;104;255;12;49;22;67;5;155;4;
745;Duplessis;2014-04-07;G;Sept-Îles, v;9;;105;367;13;66;37;74;2;192;9;
745;Duplessis;2014-04-07;G;Sept-Îles, v;9;;106;248;5;43;28;60;3;139;2;
745;Duplessis;2014-04-07;G;Sept-Îles, v;10;;107;291;26;48;24;61;4;163;5;
745;Duplessis;2014-04-07;G;Sept-Îles, v;10;;108;275;22;44;31;77;5;179;3;
745;Duplessis;2014-04-07;G;Sept-Îles, v;10;;109;317;17;56;36;51;4;164;4;
745;Duplessis;2014-04-07;G;Sept-Îles, v;11;;110A;153;10;21;16;31;0;78;1;
745;Duplessis;2014-04-07;G;Sept-Îles, v;11;;110B;296;11;28;31;77;2;149;1;
745;Duplessis;2014-04-07;G;Sept-Îles, v;11;;111;307;12;49;18;81;5;165;5;
745;Duplessis;2014-04-07;G;Sept-Îles, v;11;;112;335;15;38;25;84;2;164;5;
745;Duplessis;2014-04-07;G;Uashat, ri;1;;113A;289;7;17;7;5;0;36;0;
