Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Colangelo Lauzon Mikey É.A.P. - P.C.Q.;Corriveau Robert P.L.Q./Q.L.P.;Hivon Véronique P.Q.;Larouche Denise C.A.Q.-É.F.L.;Legault Sylvain O.N. - P.I.Q.;Trudel Flavie Q.S.;B.V.;B.R.;
361;Joliette;2014-04-07;G;Joliette, v;2;;86;377;1;37;54;35;0;16;143;6;
361;Joliette;2014-04-07;G;Joliette, v;2;;87;386;2;45;71;62;1;17;198;3;
361;Joliette;2014-04-07;G;Joliette, v;2;;88;372;0;43;74;42;3;19;181;6;
361;Joliette;2014-04-07;G;Joliette, v;2;;89;676;0;42;65;26;2;21;156;3;
361;Joliette;2014-04-07;G;Joliette, v;2;Regr. BVO-89;90;0;0;0;0;0;0;0;0;0;
361;Joliette;2014-04-07;G;Joliette, v;3;;91;344;2;14;55;24;0;15;110;3;
361;Joliette;2014-04-07;G;Joliette, v;3;;92;361;0;24;62;27;2;19;134;4;
361;Joliette;2014-04-07;G;Joliette, v;3;;93;458;2;27;67;17;4;24;141;6;
361;Joliette;2014-04-07;G;Joliette, v;3;Regr. BVO-93;94;0;0;0;0;0;0;0;0;0;
361;Joliette;2014-04-07;G;Joliette, v;3;Regr. BVO-96;95;0;0;0;0;0;0;0;0;0;
361;Joliette;2014-04-07;G;Joliette, v;3;;96;431;1;20;44;21;2;10;98;0;
361;Joliette;2014-04-07;G;Joliette, v;3;Regr. BVO-98;97;0;0;0;0;0;0;0;0;0;
361;Joliette;2014-04-07;G;Joliette, v;3;;98;364;0;16;51;32;1;14;114;2;
361;Joliette;2014-04-07;G;Joliette, v;3;;99;380;3;14;48;18;4;11;98;1;
361;Joliette;2014-04-07;G;Joliette, v;4;;100;347;1;21;61;31;0;16;130;3;
361;Joliette;2014-04-07;G;Joliette, v;4;;101;389;0;40;69;38;3;13;163;4;
361;Joliette;2014-04-07;G;Joliette, v;4;;102;357;1;26;55;32;3;18;135;1;
361;Joliette;2014-04-07;G;Joliette, v;4;;103;409;0;26;80;28;0;26;160;1;
361;Joliette;2014-04-07;G;Joliette, v;4;;104;358;1;35;90;36;2;9;173;1;
361;Joliette;2014-04-07;G;Joliette, v;5;;105;397;2;29;81;45;5;23;185;6;
