Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arpin Louise P.L.Q./Q.L.P.;Labbé Simon É.A.P. - P.C.Q.;Pelland Danielle Q.S.;Pelletier Émilien P.Q.;Pothier Éric O.N. - P.I.Q.;Soucy Chantal C.A.Q.-É.F.L.;B.V.;B.R.;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Barnabé-Sud, m;1;;118;325;58;1;10;66;1;77;213;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Barnabé-Sud, m;1;;119;325;64;1;12;48;0;79;204;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Simon, m;1;;120;324;40;5;12;73;1;90;221;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Simon, m;1;;121;354;40;2;17;63;1;123;246;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Simon, m;1;;122;323;49;0;12;44;2;81;188;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hugues, m;1;;123;343;54;2;16;64;0;106;242;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hugues, m;1;;124;332;61;0;14;66;3;95;239;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hugues, m;1;;125;328;52;2;18;58;2;79;211;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Liboire, m;1;;126;347;50;2;8;68;2;95;225;7;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Liboire, m;1;;127;348;57;1;19;51;0;105;233;7;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Liboire, m;1;;128;340;39;5;20;75;4;95;238;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Liboire, m;1;;129;366;65;3;19;62;1;103;253;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Liboire, m;1;;130;351;64;1;13;58;1;97;234;7;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Liboire, m;1;;131;349;35;0;22;75;2;90;224;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Dominique, m;1;;132;360;64;3;8;54;5;94;228;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Dominique, m;1;;133;365;60;3;8;52;1;87;211;9;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Dominique, m;1;;134;414;38;2;19;66;4;165;294;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Dominique, m;1;;135;399;48;4;8;62;2;117;241;12;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Dominique, m;1;;136;381;72;1;20;53;2;88;236;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Pie, v;1;;137;368;36;2;13;58;0;87;196;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Pie, v;1;;138;362;48;1;6;58;1;99;213;8;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Pie, v;1;;139;393;35;4;16;66;1;77;199;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Pie, v;1;;140;380;33;0;7;85;0;72;197;1;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Pie, v;1;;141;384;52;0;13;56;2;95;218;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Pie, v;1;;142A;256;19;0;5;47;2;68;141;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Pie, v;1;;142B;176;18;0;6;29;0;41;94;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Pie, v;1;;143;386;51;3;10;53;1;87;205;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Pie, v;1;;144;386;39;3;14;51;5;74;186;7;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Pie, v;1;;145;366;35;5;10;54;1;82;187;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Pie, v;1;;146;371;41;3;9;61;1;69;184;11;
