Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Glia Meriem P.L.Q./Q.L.P.;Jacob Jean-François O.N. - P.I.Q.;Jarry Jean-François C.A.Q.-É.F.L.;Smith Yan Q.S.;Traversy Mathieu P.Q.;B.V.;B.R.;
453;Terrebonne;2014-04-07;G;Terrebonne, v;15;;114;322;19;1;53;21;61;155;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;15;;115;399;24;0;43;13;60;140;6;
453;Terrebonne;2014-04-07;G;Terrebonne, v;15;;116;312;16;2;64;13;77;172;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;15;;117;321;25;5;46;11;72;159;9;
453;Terrebonne;2014-04-07;G;Terrebonne, v;15;;118;324;16;1;40;18;78;153;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;15;;119;375;27;2;56;14;54;153;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;15;;120;366;26;6;48;10;74;164;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;16;;121;333;22;3;58;19;82;184;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;16;;122;334;28;3;38;12;67;148;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;16;;123;287;20;4;42;14;63;143;6;
453;Terrebonne;2014-04-07;G;Terrebonne, v;16;;124;330;31;0;51;10;66;158;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;16;;125;347;25;3;42;10;71;151;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;16;;126;305;20;3;38;17;70;148;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;17;;127;304;29;3;54;8;57;151;8;
453;Terrebonne;2014-04-07;G;Terrebonne, v;17;;128;336;26;4;36;11;56;133;6;
453;Terrebonne;2014-04-07;G;Terrebonne, v;17;;129;327;29;1;58;14;64;166;7;
453;Terrebonne;2014-04-07;G;Terrebonne, v;17;;130;333;43;1;58;16;61;179;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;17;;131;327;42;1;53;11;62;169;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;17;;132;333;26;1;41;12;65;145;6;
453;Terrebonne;2014-04-07;G;Terrebonne, v;17;;133;340;37;4;76;9;52;178;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;17;;134;307;25;3;43;10;64;145;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;17;;135;329;43;4;53;7;78;185;0;
453;Terrebonne;2014-04-07;G;Terrebonne, v;17;;136;320;40;1;57;10;57;165;7;
453;Terrebonne;2014-04-07;G;Terrebonne, v;18;;137A;242;23;0;66;7;43;139;0;
453;Terrebonne;2014-04-07;G;Terrebonne, v;18;;137B;272;45;1;59;4;49;158;4;
