Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Hugues C.A.Q.-É.F.L.;Bolduc Yves P.L.Q./Q.L.P.;Couillard Maxime P.N.;Gueppe Eveline Q.S.;Laberge Clément P.Q.;Lavallée Alexandre O.N. - P.I.Q.;Pouleur Stéphane É.A.;Roy Verville Monique É.A.P. - P.C.Q.;B.V.;B.R.;
643;Jean-Talon;2014-04-07;G;Québec, v;32;;95;375;48;110;1;8;26;1;1;0;195;1;
643;Jean-Talon;2014-04-07;G;Québec, v;32;;96;368;35;133;3;8;49;4;1;1;234;1;
643;Jean-Talon;2014-04-07;G;Québec, v;32;;97;376;59;114;1;18;52;1;1;1;247;3;
643;Jean-Talon;2014-04-07;G;Québec, v;33;;98;104;3;9;0;4;6;0;0;0;22;0;
643;Jean-Talon;2014-04-07;G;Québec, v;34;;99;313;37;42;3;26;27;6;0;0;141;3;
643;Jean-Talon;2014-04-07;G;Québec, v;34;;100;340;35;41;2;25;41;8;2;0;154;3;
643;Jean-Talon;2014-04-07;G;Québec, v;34;;101;359;54;48;1;26;22;1;0;1;153;2;
643;Jean-Talon;2014-04-07;G;Québec, v;34;;102;291;40;35;4;26;27;7;1;0;140;1;
643;Jean-Talon;2014-04-07;G;Québec, v;34;;103;322;32;56;5;17;33;3;0;0;146;1;
643;Jean-Talon;2014-04-07;G;Québec, v;34;;104;332;34;44;2;12;37;2;0;2;133;2;
643;Jean-Talon;2014-04-07;G;Québec, v;40;;105;378;39;54;1;33;45;4;0;0;176;3;
643;Jean-Talon;2014-04-07;G;Québec, v;40;;106;614;56;66;1;21;41;7;3;1;196;2;
643;Jean-Talon;2014-04-07;G;Québec, v;40;;107;376;43;47;2;38;52;7;0;1;190;2;
643;Jean-Talon;2014-04-07;G;Québec, v;40;;108;361;49;69;3;27;41;7;2;0;198;0;
643;Jean-Talon;2014-04-07;G;Québec, v;40;;109;468;29;70;2;33;71;3;1;0;209;2;
643;Jean-Talon;2014-04-07;G;Québec, v;40;;110;398;44;85;3;34;55;3;0;0;224;0;
