Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;D'Amour Jean P.L.Q./Q.L.P.;Gagnon Louis Q.S.;Lagacé Michel P.Q.;Malenfant Frank P.S.P.;Massé Étienne O.N. - P.I.Q.;Roy Charles C.A.Q.-É.F.L.;B.V.;B.R.;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Sainte-Françoise, p;1;;84;325;86;18;64;2;1;26;197;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Notre-Dame-des-Neiges, m;1;;85;321;64;10;47;1;0;41;163;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Notre-Dame-des-Neiges, m;1;;86;323;99;12;35;0;0;29;175;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Notre-Dame-des-Neiges, m;1;;87;339;82;16;31;2;0;35;166;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Trois-Pistoles, v;1;;88;340;53;14;36;1;0;35;139;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Trois-Pistoles, v;1;;89;309;54;8;39;2;2;29;134;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Trois-Pistoles, v;1;;90;312;62;2;29;1;0;32;126;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Trois-Pistoles, v;1;;91;320;69;7;28;2;1;33;140;5;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Trois-Pistoles, v;2;;92;338;72;12;37;2;3;24;150;4;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Trois-Pistoles, v;2;;93;376;74;8;38;3;0;27;150;4;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Trois-Pistoles, v;2;Regr. BVO-93;94;0;0;0;0;0;0;0;0;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Trois-Pistoles, v;2;Regr. BVO-96;95;0;0;0;0;0;0;0;0;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Trois-Pistoles, v;2;;96;410;68;16;34;0;3;26;147;4;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Trois-Pistoles, v;2;;97;340;68;5;39;0;0;25;137;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Trois-Pistoles, v;2;Regr. BVO-97;98;0;0;0;0;0;0;0;0;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Simon, p;1;;99;345;108;13;87;0;0;29;237;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Mathieu-de-Rioux, p;1;;100;256;72;21;38;1;1;26;159;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Mathieu-de-Rioux, p;1;;101;262;68;17;49;1;2;30;167;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Médard, m;1;;102;196;84;2;19;2;0;25;132;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Guy, m;1;;103;62;14;2;12;0;0;8;36;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Lac-des-Aigles, m;1;;104;237;35;9;47;1;1;32;125;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Lac-des-Aigles, m;1;;105;204;48;14;47;0;0;18;127;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Biencourt, m;1;;106;204;76;4;19;1;0;21;121;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Biencourt, m;1;;107;206;68;4;32;1;1;31;137;0;
