Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Archambault Marcos P.Q.;Cauchon Jean-Gabriel O.N. - P.I.Q.;Dupré Léon M.P.Q.;Fortin Côté David Q.S.;Leclerc Julien P.Éq.;Nichols Marie-Claude P.L.Q./Q.L.P.;Paul Michel É.A.P. - P.C.Q.;Radcliffe Thomas P.V.Q./G.P.Q.;Tison Luc C.A.Q.-É.F.L.;B.V.;B.R.;
169;Vaudreuil;2014-04-07;G;BVA8;;;;0;69;0;2;14;1;212;0;1;47;346;3;
169;Vaudreuil;2014-04-07;G;BVA9;;;;0;82;2;2;17;0;195;1;4;57;360;6;
169;Vaudreuil;2014-04-07;G;BVA10;;;;0;70;0;1;12;5;214;0;0;39;341;4;
169;Vaudreuil;2014-04-07;G;BVA11;;;;0;73;0;0;21;1;421;4;3;63;586;2;
169;Vaudreuil;2014-04-07;G;BVA12;;;;0;59;1;1;16;0;426;1;6;57;567;2;
169;Vaudreuil;2014-04-07;G;BVA13;;;;0;65;1;0;17;1;295;3;2;47;431;1;
169;Vaudreuil;2014-04-07;G;BVA14;;;;0;137;0;0;26;5;249;2;2;89;510;6;
169;Vaudreuil;2014-04-07;G;BVA15;;;;0;103;2;0;11;2;360;2;4;67;551;1;
169;Vaudreuil;2014-04-07;G;BVA16;;;;0;94;2;3;22;0;270;4;5;63;463;4;
169;Vaudreuil;2014-04-07;G;BVA17;;;;0;43;2;3;5;1;108;0;1;24;187;3;
169;Vaudreuil;2014-04-07;G;BVA18;;;;0;97;0;1;14;1;183;2;3;33;334;1;
169;Vaudreuil;2014-04-07;G;BVA19;;;;0;111;1;4;16;1;243;1;0;77;454;3;
169;Vaudreuil;2014-04-07;G;BVA20;;;;0;24;3;0;10;1;569;1;6;31;645;0;
169;Vaudreuil;2014-04-07;G;BVA21;;;;0;20;0;1;2;2;716;4;2;17;764;0;
169;Vaudreuil;2014-04-07;G;Vote en installation d'hébergement;;;;0;97;4;4;10;4;335;7;2;54;517;13;
169;Vaudreuil;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;40;2;0;6;3;124;5;0;20;200;3;
169;Vaudreuil;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;209;1;1;53;6;883;9;15;139;1316;14;
169;Vaudreuil;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;0;
169;Vaudreuil;2014-04-07;G;Vote hors circonscription;;;;0;93;3;1;90;2;386;0;23;46;644;16;
169;Vaudreuil;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;242;0;0;0;0;0;0;0;0;0;0;0;
169;Vaudreuil;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;9;0;0;0;0;0;0;0;0;0;0;0;
169;Vaudreuil;2014-04-07;G;Total de la circonscription;;;;58822;7238;115;90;2101;190;27750;196;584;7084;45348;528;
169;Vaudreuil;2014-04-07;G;Majorité en faveur de Marie-Claude Nichols : 20512
