Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Campeau Richard C.A.Q.-É.F.L.;Chouakri Yasmina P.Q.;Couture Raphael O.N. - P.I.Q.;Lessard Marlène Q.S.;Teclou Annibal P.V.Q./G.P.Q.;Thériault Lise P.L.Q./Q.L.P.;B.V.;B.R.;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;367;;57;386;46;37;0;19;3;74;179;5;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;367;;58;408;37;37;2;15;0;90;181;4;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;367;;59;390;45;39;0;8;1;87;180;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;367;;60;393;31;31;1;7;0;104;174;5;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;367;;61;406;44;29;0;9;1;135;218;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;367;;62;402;36;36;0;12;0;148;232;4;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;367;;63;391;26;31;0;19;5;120;201;0;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;367;;64;409;37;25;2;6;0;136;206;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;368;;65;369;31;32;0;13;2;148;226;3;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;368;;66;375;25;44;0;4;0;82;155;4;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;368;;67;369;41;40;0;15;1;75;172;4;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;368;;68;500;32;36;2;15;2;67;154;5;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;368;;69;379;43;39;2;9;1;131;225;1;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;368;;70;360;53;41;0;9;1;117;221;1;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;368;;71;360;44;27;0;22;3;107;203;4;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;369;;72;364;60;53;1;20;3;94;231;5;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;369;;73;358;38;44;0;12;4;91;189;0;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;369;;74;359;30;51;1;18;1;71;172;1;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;369;;75;363;31;52;2;19;2;70;176;4;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;369;;76;365;21;55;0;15;6;65;162;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;369;;77;366;42;37;2;14;4;83;182;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;369;;78;373;47;45;1;18;1;79;191;4;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;370;;79;421;35;31;2;9;1;135;213;1;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;370;;80;411;39;60;0;24;4;119;246;7;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;370;;81;412;59;52;1;14;2;108;236;1;
