Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bossé Bélanger Jade O.N. - P.I.Q.;Denis Marie-Josée P.L.Q./Q.L.P.;Grenier Maryse É.A.P. - P.C.Q.;Lusignan Carole Q.S.;Tremblay Serge C.A.Q.-É.F.L.;Turcotte Dave P.Q.;B.V.;B.R.;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;15;;112;345;2;46;0;20;63;67;198;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;15;;113;335;0;57;2;18;71;48;196;8;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;16;;114;345;4;31;3;6;57;64;165;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;16;;115;349;5;32;0;22;34;64;157;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;16;;116;343;3;43;3;11;60;57;177;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;16;;117;339;4;46;2;16;48;77;193;8;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;16;;118;349;1;51;4;14;57;64;191;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;16;;119;367;0;54;2;10;41;76;183;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;17;;120;351;0;27;1;10;34;37;109;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;17;;121;297;3;21;0;2;40;21;87;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;17;;122;317;2;40;0;5;43;53;143;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;17;;123;307;0;46;0;8;27;32;113;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;18;;124;332;0;41;1;7;37;47;133;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;18;;125;345;2;35;4;12;57;57;167;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;18;;126;364;0;63;0;17;69;59;208;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;18;;127;361;1;37;1;15;31;44;129;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;18;;128;374;2;44;0;17;48;61;172;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;18;;129;363;4;38;2;12;41;46;143;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;18;;130;356;0;40;0;12;54;47;153;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;18;;131;334;0;37;1;6;37;52;133;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;19;Regr. BVO-133;132;0;0;0;0;0;0;0;0;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;19;;133;552;4;65;2;7;58;54;190;2;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;19;;134;384;6;66;0;7;77;54;210;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;19;;135A;262;0;35;0;5;41;34;115;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;19;;135B;210;0;50;1;8;34;56;149;1;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;19;;136;393;3;57;2;12;66;70;210;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;19;;137;490;2;68;3;11;76;58;218;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;19;Regr. BVO-140;138;0;0;0;0;0;0;0;0;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;19;Regr. BVO-137;139;0;0;0;0;0;0;0;0;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;19;;140;689;2;80;3;11;71;60;227;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;20;;141;332;0;38;1;10;62;62;173;2;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;20;;142;362;1;63;1;14;78;50;207;3;
