Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauregard René P.Q.;Lemay François C.A.Q.-É.F.L.;Paradis Pierre P.L.Q./Q.L.P.;Pépin Nicolas O.N. - P.I.Q.;Van Caloen Benoit Q.S.;B.V.;B.R.;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;110;281;29;46;46;0;7;128;5;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;111A;337;36;56;44;0;3;139;1;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;111B;248;29;48;44;0;4;125;0;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;112A;257;15;59;61;0;7;142;2;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;112B;285;40;53;36;1;18;148;2;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;113;383;47;53;54;1;17;172;1;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;114;407;38;91;55;0;20;204;4;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;115;329;28;61;67;0;13;169;2;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;116;319;46;40;51;0;19;156;6;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;117;340;42;55;50;1;26;174;5;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;118;313;42;59;44;2;25;172;5;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;119;327;34;60;45;1;6;146;4;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;120;368;35;55;68;2;16;176;4;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;121;356;56;71;31;2;26;186;3;
129;Brome-Missisquoi;2014-04-07;G;Brome, vl;1;;122;222;12;10;110;0;5;137;0;
129;Brome-Missisquoi;2014-04-07;G;East Farnham, m;1;;123;225;21;45;67;0;15;148;2;
129;Brome-Missisquoi;2014-04-07;G;East Farnham, m;1;;124;239;25;51;76;0;6;158;5;
