Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernard Jean-Yves Q.S.;Latrémouille Ian C.A.Q.-É.F.L.;Marois Pauline P.Q.;Mélançon Chantal É.A.P. - P.C.Q.;Simard Caroline P.L.Q./Q.L.P.;Thériault François O.N. - P.I.Q.;B.V.;B.R.;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Joachim, p;1;;87;389;4;91;50;4;69;0;218;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Beaupré, v;1;;88;403;6;94;34;0;75;0;209;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Beaupré, v;1;;89;473;2;61;41;2;36;2;144;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Beaupré, v;1;;90;498;2;61;64;3;66;1;197;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Beaupré, v;1;;91;389;6;56;41;4;49;1;157;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Beaupré, v;1;;92;379;14;68;56;1;62;1;202;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Beaupré, v;1;;93;400;7;95;48;2;64;3;219;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Beaupré, v;1;;94;397;4;73;48;3;73;3;204;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Sainte-Anne-de-Beaupré, v;1;;95;409;11;70;74;2;62;1;220;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Sainte-Anne-de-Beaupré, v;1;;96;414;4;85;59;0;72;1;221;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Sainte-Anne-de-Beaupré, v;1;;97;400;4;101;37;2;80;1;225;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Sainte-Anne-de-Beaupré, v;1;;98;403;13;56;57;2;66;2;196;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Sainte-Anne-de-Beaupré, v;1;;99;412;5;67;36;3;84;2;197;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Sainte-Anne-de-Beaupré, v;1;;100;389;7;89;32;1;56;1;186;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Château-Richer, v;1;;101;330;15;77;39;4;49;0;184;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Château-Richer, v;1;;102;327;9;80;31;4;70;1;195;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Château-Richer, v;1;;103;330;5;86;31;3;62;3;190;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Château-Richer, v;1;;104;313;5;72;44;4;73;0;198;1;
