Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brunelle Claude P.M.L.Q.;Chateauneuf Gaétan Q.S.;Gagnon Jean-Pierre P.L.Q./Q.L.P.;Kotto Maka P.Q.;Lapierre Thomas P.V.Q./G.P.Q.;Medza Sylvain C.A.Q.-É.F.L.;Saavedra Renaud Diego O.N. - P.I.Q.;B.V.;B.R.;
377;Bourget;2014-04-07;G;Montréal, v;352;;72;325;0;19;29;81;1;57;0;187;2;
377;Bourget;2014-04-07;G;Montréal, v;352;;73;346;1;25;24;105;4;50;1;210;3;
377;Bourget;2014-04-07;G;Montréal, v;352;;74;341;0;26;37;56;4;42;4;169;4;
377;Bourget;2014-04-07;G;Montréal, v;352;;75;343;0;33;32;82;2;40;2;191;7;
377;Bourget;2014-04-07;G;Montréal, v;353;;76;337;0;16;30;78;3;30;2;159;6;
377;Bourget;2014-04-07;G;Montréal, v;353;;77;331;0;20;46;53;1;46;1;167;6;
377;Bourget;2014-04-07;G;Montréal, v;353;;78;348;0;20;26;78;6;42;1;173;7;
377;Bourget;2014-04-07;G;Montréal, v;353;;79;397;0;15;33;86;2;38;2;176;5;
377;Bourget;2014-04-07;G;Montréal, v;353;;80;356;1;21;28;94;8;47;2;201;3;
377;Bourget;2014-04-07;G;Montréal, v;353;;81;320;2;17;39;87;3;25;0;173;4;
377;Bourget;2014-04-07;G;Montréal, v;353;;82;345;1;15;49;75;2;49;1;192;1;
377;Bourget;2014-04-07;G;Montréal, v;354;;83;399;0;27;66;69;6;54;1;223;9;
377;Bourget;2014-04-07;G;Montréal, v;354;;84;408;1;27;50;83;4;29;3;197;8;
377;Bourget;2014-04-07;G;Montréal, v;354;;85;400;1;21;65;65;3;48;0;203;6;
377;Bourget;2014-04-07;G;Montréal, v;354;;86;402;4;31;58;62;4;35;1;195;4;
377;Bourget;2014-04-07;G;Montréal, v;354;;87;415;0;30;90;66;3;61;4;254;2;
377;Bourget;2014-04-07;G;Montréal, v;354;;88;386;0;16;86;68;1;31;1;203;3;
377;Bourget;2014-04-07;G;Montréal, v;355;;89;382;0;23;69;74;3;35;4;208;6;
377;Bourget;2014-04-07;G;Montréal, v;355;;90;369;1;21;53;90;13;49;2;229;3;
377;Bourget;2014-04-07;G;Montréal, v;355;;91;368;1;27;52;74;3;46;1;204;0;
377;Bourget;2014-04-07;G;Montréal, v;355;;92;377;0;19;77;52;4;46;0;198;2;
377;Bourget;2014-04-07;G;Montréal, v;355;;93;367;0;21;55;48;5;38;0;167;3;
377;Bourget;2014-04-07;G;Montréal, v;355;;94;353;1;13;51;77;4;49;1;196;3;
377;Bourget;2014-04-07;G;Montréal, v;355;;95;371;0;34;87;71;2;48;2;244;4;
377;Bourget;2014-04-07;G;Montréal, v;355;;96A;295;0;17;77;43;1;37;0;175;3;
377;Bourget;2014-04-07;G;Montréal, v;355;;96B;288;0;24;53;68;2;29;0;176;2;
377;Bourget;2014-04-07;G;Montréal, v;356;;97A;280;0;16;66;45;0;41;1;169;1;
377;Bourget;2014-04-07;G;Montréal, v;356;;97B;272;0;13;66;56;2;38;0;175;3;
377;Bourget;2014-04-07;G;Montréal, v;356;;98;354;0;15;39;87;2;43;0;186;0;
377;Bourget;2014-04-07;G;Montréal, v;356;;99;333;0;13;65;75;0;37;1;191;5;
377;Bourget;2014-04-07;G;Montréal, v;356;;100;351;1;19;64;70;7;30;3;194;1;
377;Bourget;2014-04-07;G;Montréal, v;356;;101;317;0;20;54;64;1;35;0;174;5;
377;Bourget;2014-04-07;G;Montréal, v;356;;102;446;1;7;81;37;6;17;1;150;4;
377;Bourget;2014-04-07;G;Montréal, v;356;;103;371;0;26;46;70;5;42;0;189;8;
377;Bourget;2014-04-07;G;Montréal, v;356;;104A;215;0;9;55;35;0;37;1;137;2;
377;Bourget;2014-04-07;G;Montréal, v;356;;104B;222;0;13;55;38;5;24;0;135;4;
377;Bourget;2014-04-07;G;Montréal, v;357;;105;370;0;18;74;60;5;31;1;189;2;
377;Bourget;2014-04-07;G;Montréal, v;357;;106;367;3;15;64;77;5;32;1;197;2;
377;Bourget;2014-04-07;G;Montréal, v;357;;107;382;0;12;95;58;2;47;3;217;2;
377;Bourget;2014-04-07;G;Montréal, v;357;;108;354;0;20;57;78;1;63;0;219;0;
377;Bourget;2014-04-07;G;Montréal, v;357;;109;361;1;21;51;78;0;42;4;197;3;
377;Bourget;2014-04-07;G;Montréal, v;357;;110;366;1;23;77;74;6;51;1;233;3;
