Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchet Yves-François P.Q.;Desrochers François Q.S.;Doucet Magali O.N. - P.I.Q.;Gauthier Sébastien P.N.;Lamontagne André C.A.Q.-É.F.L.;Lussier Benoit É.A.P. - P.C.Q.;Mercier Brigitte P.L.Q./Q.L.P.;B.V.;B.R.;
269;Johnson;2014-04-07;G;Roxton Falls, vl;1;;88;338;57;14;3;6;69;2;48;199;5;
269;Johnson;2014-04-07;G;Roxton Falls, vl;1;;89;347;51;4;1;3;80;5;60;204;7;
269;Johnson;2014-04-07;G;Roxton Falls, vl;1;;90;344;56;10;3;0;76;1;84;230;1;
269;Johnson;2014-04-07;G;Béthanie, m;1;;91;261;44;11;2;2;80;3;40;182;2;
269;Johnson;2014-04-07;G;Saint-Joachim-de-Shefford, m;1;;92;327;72;16;3;4;53;0;46;194;3;
269;Johnson;2014-04-07;G;Saint-Joachim-de-Shefford, m;1;;93;319;54;11;0;6;56;0;59;186;6;
269;Johnson;2014-04-07;G;Saint-Joachim-de-Shefford, m;1;;94;345;95;13;1;3;90;1;42;245;2;
269;Johnson;2014-04-07;G;Roxton Pond, m;1;;95;359;47;6;1;6;75;0;40;175;7;
269;Johnson;2014-04-07;G;Roxton Pond, m;1;;96;347;51;10;2;5;59;0;46;173;10;
269;Johnson;2014-04-07;G;Roxton Pond, m;1;;97;371;49;9;1;4;93;4;39;199;8;
269;Johnson;2014-04-07;G;Roxton Pond, m;1;;98;350;47;11;2;1;86;4;51;202;6;
269;Johnson;2014-04-07;G;Roxton Pond, m;1;;99;354;58;8;1;5;92;0;41;205;6;
269;Johnson;2014-04-07;G;Roxton Pond, m;1;;100;369;43;19;3;3;82;2;34;186;4;
269;Johnson;2014-04-07;G;Roxton Pond, m;1;;101;346;48;16;1;3;67;1;50;186;6;
269;Johnson;2014-04-07;G;Roxton Pond, m;1;;102;362;47;8;1;4;93;0;50;203;5;
269;Johnson;2014-04-07;G;Sainte-Cécile-de-Milton, m;1;;103;404;69;14;4;3;122;2;42;256;3;
269;Johnson;2014-04-07;G;Sainte-Cécile-de-Milton, m;1;;104;391;50;10;0;4;90;3;52;209;12;
269;Johnson;2014-04-07;G;Sainte-Cécile-de-Milton, m;1;;105;401;79;15;2;1;106;1;44;248;9;
269;Johnson;2014-04-07;G;Sainte-Cécile-de-Milton, m;1;;106;399;50;10;4;7;112;1;49;233;2;
269;Johnson;2014-04-07;G;Saint-Valérien-de-Milton, m;1;;107;351;50;16;1;1;90;0;50;208;3;
269;Johnson;2014-04-07;G;Saint-Valérien-de-Milton, m;1;;108;344;48;17;2;2;106;0;67;242;1;
269;Johnson;2014-04-07;G;Saint-Valérien-de-Milton, m;1;;109;339;57;13;0;2;98;1;44;215;4;
269;Johnson;2014-04-07;G;Saint-Valérien-de-Milton, m;1;;110;335;44;16;0;5;81;3;63;212;1;
269;Johnson;2014-04-07;G;Upton, m;1;;111;318;61;13;3;1;73;2;54;207;7;
269;Johnson;2014-04-07;G;Upton, m;1;;112;337;70;16;1;4;76;2;25;194;7;
269;Johnson;2014-04-07;G;Upton, m;1;;113;323;49;16;1;2;51;2;42;163;3;
269;Johnson;2014-04-07;G;Upton, m;1;;114;320;48;6;0;4;60;0;85;203;10;
269;Johnson;2014-04-07;G;Upton, m;1;;115;340;64;8;2;2;78;1;46;201;6;
269;Johnson;2014-04-07;G;Acton Vale, v;1;;116;348;59;11;1;2;71;1;45;190;3;
269;Johnson;2014-04-07;G;Acton Vale, v;1;;117;430;52;6;0;5;37;1;52;153;5;
269;Johnson;2014-04-07;G;Acton Vale, v;1;;118;519;51;13;2;1;63;4;32;166;1;
269;Johnson;2014-04-07;G;Acton Vale, v;1;;119;393;70;9;2;2;66;3;42;194;5;
269;Johnson;2014-04-07;G;Acton Vale, v;1;;120;373;74;9;1;3;91;3;48;229;2;
269;Johnson;2014-04-07;G;Acton Vale, v;1;;121;372;85;12;1;4;96;0;34;232;6;
269;Johnson;2014-04-07;G;Acton Vale, v;1;;122;363;54;2;1;1;73;0;43;174;1;
269;Johnson;2014-04-07;G;Acton Vale, v;2;;123;335;52;7;2;4;62;0;45;172;1;
269;Johnson;2014-04-07;G;Acton Vale, v;2;;124;360;39;10;2;2;54;1;48;156;7;
269;Johnson;2014-04-07;G;Acton Vale, v;2;;125;354;61;9;1;4;54;2;28;159;1;
269;Johnson;2014-04-07;G;Acton Vale, v;2;;126;357;52;16;3;1;75;0;42;189;3;
269;Johnson;2014-04-07;G;Acton Vale, v;2;;127;341;42;7;0;0;65;3;51;168;5;
269;Johnson;2014-04-07;G;Acton Vale, v;2;;128;361;66;8;2;8;70;5;25;184;4;
269;Johnson;2014-04-07;G;Acton Vale, v;2;;129;340;38;9;4;4;71;1;34;161;3;
269;Johnson;2014-04-07;G;Acton Vale, v;2;;130;370;63;13;0;1;68;0;60;205;4;
269;Johnson;2014-04-07;G;Acton Vale, v;2;;131;348;47;4;1;1;80;2;32;167;6;
269;Johnson;2014-04-07;G;Saint-Théodore-d'Acton, m;1;;132;378;53;14;3;4;107;2;55;238;3;
