Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bessette Andrée Q.S.;Charlebois Lucie P.L.Q./Q.L.P.;Domingos Patricia P.Éq.;Marquis Patrick O.N. - P.I.Q.;Séguin Marie-Louise P.Q.;B.V.;B.R.;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;80;330;21;64;6;2;71;164;10;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;81;331;21;80;6;3;92;202;12;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;82;336;11;80;4;2;87;184;17;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;83;339;21;94;0;5;65;185;8;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;84;325;34;70;4;5;71;184;13;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;85;310;14;95;6;1;52;168;11;
163;Soulanges;2014-04-07;G;Saint-Clet, m;1;;86;337;20;105;10;3;85;223;15;
163;Soulanges;2014-04-07;G;Saint-Clet, m;1;;87;344;23;78;8;3;77;189;13;
163;Soulanges;2014-04-07;G;Saint-Clet, m;1;;88;322;19;89;7;4;73;192;10;
163;Soulanges;2014-04-07;G;Saint-Clet, m;1;;89;332;25;115;8;4;63;215;13;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;90;341;11;177;2;1;10;201;2;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;91;384;15;207;1;2;13;238;8;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;92;326;3;186;2;0;2;193;2;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;93;338;8;217;1;0;3;229;1;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;94;339;1;201;0;0;9;211;2;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;95;342;2;195;0;1;10;208;0;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;96;346;3;188;2;0;10;203;2;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;97;337;10;150;0;1;42;203;8;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;98A;231;4;99;1;1;19;124;1;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;98B;212;2;113;1;0;12;128;4;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;99;326;5;158;1;1;20;185;3;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;100;335;8;151;2;2;18;181;7;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;101;319;10;146;1;0;12;169;5;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;102;327;4;167;1;3;10;185;5;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;103;330;17;106;6;4;35;168;8;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;104;312;13;89;4;0;44;150;7;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;105;366;14;153;3;2;35;207;0;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;106;319;16;127;1;0;38;182;3;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;107;416;14;194;2;1;27;238;4;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;108;352;2;174;3;1;26;206;12;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;1;;109;335;7;167;1;1;18;194;3;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;2;;110;336;15;127;4;2;37;185;6;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;2;;111;333;20;136;8;1;27;192;6;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;2;;112;329;10;83;3;2;43;141;9;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;2;;113;320;24;80;5;2;50;161;13;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;2;;114;343;26;114;5;2;54;201;11;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;2;;115;347;21;139;4;2;54;220;13;
163;Soulanges;2014-04-07;G;Saint-Lazare, v;2;;116;321;11;122;4;4;42;183;12;
