Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chénier Pierre P.M.L.Q.;Drainville Bernard P.Q.;Lévesque Carl Q.S.;Lovatt-Smith Catherine P.V.Q./G.P.Q.;Portron Florent É.A.;Provencher Guillaume C.A.Q.-É.F.L.;Tremblay Jean-Guy P.L.Q./Q.L.P.;Villemaire Fabien O.N. - P.I.Q.;B.V.;B.R.;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;27;;79;362;0;60;16;7;0;35;26;1;145;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;27;;80;389;1;71;24;5;0;37;36;1;175;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;27;;81;387;0;65;11;3;1;35;41;0;156;7;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;27;;82;331;0;35;14;5;0;37;35;0;126;8;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;27;;83;333;1;43;13;5;0;41;43;1;147;8;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;28;;84A;305;0;45;4;4;0;21;11;2;87;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;28;;84B;118;0;20;4;1;0;12;22;2;61;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;28;;85;380;0;56;29;3;0;44;43;3;178;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;28;;86;400;1;53;30;11;0;27;52;2;176;5;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;28;;87;388;0;55;8;4;0;22;49;0;138;4;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;28;;88;391;1;57;25;8;0;40;27;3;161;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;28;;89;374;0;68;14;1;1;36;49;1;170;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;28;;90;362;1;52;27;3;0;25;31;1;140;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;29;;91;394;1;64;19;3;0;32;39;1;159;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;29;;92;418;2;86;18;10;0;60;32;3;211;9;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;29;;93;401;1;74;16;3;1;51;35;2;183;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;29;;94;398;0;76;21;4;0;52;46;2;201;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;29;;95;384;0;57;21;3;1;22;57;2;163;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;29;;96;380;1;59;17;5;0;44;52;0;178;5;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;30;;97;347;0;72;12;3;0;22;55;1;165;4;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;30;;98;343;0;57;18;4;0;53;52;0;184;4;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;30;;99;339;0;47;10;1;0;41;47;1;147;1;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;30;;100;357;0;62;19;4;0;40;40;0;165;5;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;30;;101;357;1;42;10;6;0;42;57;0;158;5;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;30;;102;360;0;63;14;3;1;63;47;1;192;4;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;31;;103;400;2;63;21;3;1;52;37;1;180;8;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;31;;104;399;0;72;9;3;0;37;52;1;174;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;31;;105;404;1;84;29;2;0;48;61;1;226;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;31;;106A;198;1;31;8;2;0;25;30;0;97;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;31;;106B;228;0;37;9;6;0;22;30;0;104;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;31;;107A;154;0;26;1;0;0;12;28;0;67;0;
