Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asselin Mario C.A.Q.-É.F.L.;Bergeron Dany É.A.P. - P.C.Q.;Côté Patrick O.N. - P.I.Q.;Dallaire Patrice P.Q.;Hamad Sam P.L.Q./Q.L.P.;Minville Pascal Q.S.;B.V.;B.R.;
653;Louis-Hébert;2014-04-07;G;Québec, v;13;;67;361;60;2;1;29;80;14;186;2;
653;Louis-Hébert;2014-04-07;G;Québec, v;13;;68;361;56;3;0;29;122;9;219;1;
653;Louis-Hébert;2014-04-07;G;Québec, v;13;;69;365;55;3;1;39;108;15;221;2;
653;Louis-Hébert;2014-04-07;G;Québec, v;14;;70;388;68;2;2;53;68;34;227;4;
653;Louis-Hébert;2014-04-07;G;Québec, v;14;;71;391;45;0;3;37;57;16;158;4;
653;Louis-Hébert;2014-04-07;G;Québec, v;14;;72;380;79;2;6;17;88;17;209;4;
653;Louis-Hébert;2014-04-07;G;Québec, v;14;;73;380;43;1;3;52;76;20;195;1;
653;Louis-Hébert;2014-04-07;G;Québec, v;14;;74;392;76;0;2;44;91;18;231;3;
653;Louis-Hébert;2014-04-07;G;Québec, v;14;;75;388;84;2;1;47;93;16;243;2;
653;Louis-Hébert;2014-04-07;G;Québec, v;14;;76;398;78;4;1;37;82;18;220;3;
653;Louis-Hébert;2014-04-07;G;Québec, v;14;;77;395;96;2;0;18;84;12;212;3;
653;Louis-Hébert;2014-04-07;G;Québec, v;14;;78;384;67;0;1;48;103;16;235;4;
653;Louis-Hébert;2014-04-07;G;Québec, v;15;;79;387;52;6;1;34;63;13;169;4;
653;Louis-Hébert;2014-04-07;G;Québec, v;15;;80;382;54;1;2;31;62;12;162;2;
653;Louis-Hébert;2014-04-07;G;Québec, v;15;;81;383;61;0;1;30;88;17;197;1;
653;Louis-Hébert;2014-04-07;G;Québec, v;15;;82;381;69;1;2;48;85;12;217;2;
