Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bergeron Stéphane P.Q.;Coulombe Mathieu O.N. - P.I.Q.;Jarrousse Céline Q.S.;Renaud Yves C.A.Q.-É.F.L.;Rocheleau Simon P.L.Q./Q.L.P.;B.V.;B.R.;
249;Verchères;2014-04-07;G;Sainte-Julie, v;3;;93;372;89;3;13;69;47;221;6;
249;Verchères;2014-04-07;G;Sainte-Julie, v;3;;94;480;77;3;15;67;32;194;4;
249;Verchères;2014-04-07;G;Sainte-Julie, v;3;Regr. BVO-94;95;0;0;0;0;0;0;0;0;
249;Verchères;2014-04-07;G;Sainte-Julie, v;3;;96;398;86;0;10;76;53;225;6;
249;Verchères;2014-04-07;G;Sainte-Julie, v;3;;97;361;83;0;12;69;39;203;3;
249;Verchères;2014-04-07;G;Sainte-Julie, v;4;;98;387;77;3;16;72;43;211;9;
249;Verchères;2014-04-07;G;Sainte-Julie, v;4;;99;380;93;2;9;85;45;234;3;
249;Verchères;2014-04-07;G;Sainte-Julie, v;4;;100;388;84;1;16;98;29;228;4;
249;Verchères;2014-04-07;G;Sainte-Julie, v;4;;101;387;86;1;16;80;30;213;3;
249;Verchères;2014-04-07;G;Sainte-Julie, v;4;;102;394;91;1;16;66;54;228;11;
249;Verchères;2014-04-07;G;Sainte-Julie, v;4;;103;396;101;2;29;70;49;251;2;
249;Verchères;2014-04-07;G;Sainte-Julie, v;4;;104;393;94;0;13;71;46;224;6;
249;Verchères;2014-04-07;G;Sainte-Julie, v;4;;105;386;72;0;22;97;31;222;3;
249;Verchères;2014-04-07;G;Sainte-Julie, v;4;;106;389;76;1;14;84;52;227;5;
249;Verchères;2014-04-07;G;Sainte-Julie, v;5;;107;337;53;1;17;66;45;182;3;
249;Verchères;2014-04-07;G;Sainte-Julie, v;5;;108;347;85;2;15;73;36;211;3;
249;Verchères;2014-04-07;G;Sainte-Julie, v;5;;109;348;63;0;16;79;54;212;4;
249;Verchères;2014-04-07;G;Sainte-Julie, v;5;;110;355;62;1;18;96;55;232;5;
249;Verchères;2014-04-07;G;Sainte-Julie, v;5;;111;353;71;2;13;63;51;200;7;
249;Verchères;2014-04-07;G;Sainte-Julie, v;5;;112;363;63;3;16;80;61;223;11;
249;Verchères;2014-04-07;G;Sainte-Julie, v;5;;113;355;91;0;16;66;46;219;2;
249;Verchères;2014-04-07;G;Sainte-Julie, v;5;;114;343;79;0;11;79;51;220;5;
249;Verchères;2014-04-07;G;Sainte-Julie, v;5;;115;354;79;1;16;66;44;206;8;
249;Verchères;2014-04-07;G;Sainte-Julie, v;5;;116;344;71;1;7;103;58;240;3;
249;Verchères;2014-04-07;G;Sainte-Julie, v;5;;117;350;60;0;13;95;72;240;6;
249;Verchères;2014-04-07;G;Sainte-Julie, v;5;;118;353;67;1;14;73;38;193;9;
249;Verchères;2014-04-07;G;Sainte-Julie, v;5;;119;357;67;1;24;48;34;174;7;
249;Verchères;2014-04-07;G;Sainte-Julie, v;6;;120;371;86;1;23;72;36;218;3;
249;Verchères;2014-04-07;G;Sainte-Julie, v;6;;121;367;68;1;23;72;47;211;6;
249;Verchères;2014-04-07;G;Sainte-Julie, v;6;;122;352;82;3;17;90;33;225;0;
249;Verchères;2014-04-07;G;Sainte-Julie, v;6;;123;361;86;1;13;76;38;214;5;
249;Verchères;2014-04-07;G;Sainte-Julie, v;6;;124;352;75;0;21;80;38;214;9;
249;Verchères;2014-04-07;G;Sainte-Julie, v;6;;125;357;70;2;8;59;47;186;4;
249;Verchères;2014-04-07;G;Sainte-Julie, v;6;;126;364;88;1;12;72;40;213;5;
249;Verchères;2014-04-07;G;Sainte-Julie, v;7;;127;376;89;5;10;94;43;241;3;
