Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Davis Jonathan P.N.;Desjardins Martine P.Q.;Emard Vicki P.L.Q./Q.L.P.;Giguère Sylvie Q.S.;Marginean Alain O.N. - P.I.Q.;Surprenant Claude C.A.Q.-É.F.L.;B.V.;B.R.;
481;Groulx;2014-04-07;G;Boisbriand, v;5;;128;301;3;39;24;3;1;44;114;3;
481;Groulx;2014-04-07;G;Boisbriand, v;5;;129;287;1;38;29;11;1;65;145;5;
481;Groulx;2014-04-07;G;Boisbriand, v;5;;130;290;2;42;22;10;0;41;117;2;
481;Groulx;2014-04-07;G;Boisbriand, v;5;;131;289;0;27;17;16;2;36;98;0;
481;Groulx;2014-04-07;G;Boisbriand, v;5;;132;296;3;43;41;15;2;45;149;1;
481;Groulx;2014-04-07;G;Boisbriand, v;5;;133;283;1;47;31;10;3;43;135;7;
481;Groulx;2014-04-07;G;Boisbriand, v;5;;134;352;2;53;51;15;2;74;197;2;
481;Groulx;2014-04-07;G;Boisbriand, v;6;;135;315;5;54;63;17;4;67;210;7;
481;Groulx;2014-04-07;G;Boisbriand, v;6;;136;302;2;60;40;11;4;45;162;5;
481;Groulx;2014-04-07;G;Boisbriand, v;6;;137;284;3;56;39;12;3;48;161;3;
481;Groulx;2014-04-07;G;Boisbriand, v;6;;138;294;1;37;56;16;4;59;173;1;
481;Groulx;2014-04-07;G;Boisbriand, v;6;;139;325;3;58;62;10;1;70;204;2;
481;Groulx;2014-04-07;G;Rosemère, v;1;;140;317;2;40;64;2;2;55;165;2;
481;Groulx;2014-04-07;G;Rosemère, v;1;;141;326;3;25;64;11;0;68;171;0;
481;Groulx;2014-04-07;G;Rosemère, v;1;;142;290;2;22;76;7;0;42;149;1;
481;Groulx;2014-04-07;G;Rosemère, v;1;;143;278;0;40;55;4;1;44;144;0;
481;Groulx;2014-04-07;G;Rosemère, v;1;;144;313;0;23;83;2;2;55;165;2;
481;Groulx;2014-04-07;G;Rosemère, v;1;;145;291;0;27;47;9;1;54;138;1;
481;Groulx;2014-04-07;G;Rosemère, v;1;;146;305;4;56;59;14;2;47;182;1;
481;Groulx;2014-04-07;G;Rosemère, v;1;;147;304;0;37;65;17;1;52;172;3;
481;Groulx;2014-04-07;G;Rosemère, v;1;;148;304;0;58;56;12;1;56;183;3;
481;Groulx;2014-04-07;G;Rosemère, v;1;;149;318;1;55;47;21;5;46;175;4;
481;Groulx;2014-04-07;G;Rosemère, v;2;;150;339;2;57;41;19;2;51;172;2;
481;Groulx;2014-04-07;G;Rosemère, v;2;;151;456;1;53;40;17;2;56;169;1;
481;Groulx;2014-04-07;G;Rosemère, v;2;;152;337;2;46;63;19;1;51;182;1;
481;Groulx;2014-04-07;G;Rosemère, v;2;;153;348;2;29;69;16;2;57;175;2;
481;Groulx;2014-04-07;G;Rosemère, v;2;;154;361;0;40;96;6;1;43;186;0;
481;Groulx;2014-04-07;G;Rosemère, v;2;;155;361;0;43;95;14;3;69;224;0;
481;Groulx;2014-04-07;G;Rosemère, v;2;;156;331;4;37;67;12;4;50;174;1;
481;Groulx;2014-04-07;G;Rosemère, v;2;;157;358;1;53;67;15;0;58;194;2;
