Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barrette Gaétan P.L.Q./Q.L.P.;Beaupré Johane Q.S.;Fernandez Sebastian É.A.P. - P.C.Q.;Houda-Pepin Fatima Ind;Kim Jin C.A.Q.-É.F.L.;Létourneau-Prézeau François O.N. - P.I.Q.;B.V.;B.R.;
203;La Pinière;2014-04-07;G;Brossard, v;10;;118;403;86;8;0;82;32;2;210;4;
203;La Pinière;2014-04-07;G;Brossard, v;10;;119;416;125;11;4;55;25;1;221;1;
203;La Pinière;2014-04-07;G;Brossard, v;10;;120;385;101;11;0;64;20;2;198;4;
203;La Pinière;2014-04-07;G;Brossard, v;10;;121;386;113;7;1;49;38;2;210;1;
203;La Pinière;2014-04-07;G;Brossard, v;10;;122;397;105;8;2;55;31;2;203;2;
203;La Pinière;2014-04-07;G;Brossard, v;10;;123;389;93;5;0;66;24;2;190;2;
203;La Pinière;2014-04-07;G;Brossard, v;11;;124;646;107;11;1;35;30;2;186;1;
203;La Pinière;2014-04-07;G;Brossard, v;11;;125;372;106;7;1;34;23;4;175;3;
203;La Pinière;2014-04-07;G;Brossard, v;11;;126;403;109;13;0;65;29;2;218;0;
203;La Pinière;2014-04-07;G;Brossard, v;11;;127;421;110;15;2;41;47;3;218;1;
203;La Pinière;2014-04-07;G;Brossard, v;11;;128;385;70;13;0;52;34;3;172;2;
203;La Pinière;2014-04-07;G;Brossard, v;11;;129;458;86;5;1;62;35;2;191;0;
203;La Pinière;2014-04-07;G;Brossard, v;11;;130;391;114;18;2;46;17;1;198;1;
203;La Pinière;2014-04-07;G;Brossard, v;12;;131;319;88;17;1;44;29;0;179;0;
203;La Pinière;2014-04-07;G;Brossard, v;12;;132;310;119;6;0;36;24;1;186;1;
