Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais François P.L.Q./Q.L.P.;Cyr Guillaume O.N. - P.I.Q.;Domingue Marie Céline Q.S.;Fiset Sylvain P.N.;Fournier Normand P.M.L.Q.;Jovanovic Milan É.A.P. - P.C.Q.;Lachance Daniel P.U.N.;Payette Dominique P.Q.;Trudel Denise C.A.Q.-É.F.L.;B.V.;B.R.;
619;Charlesbourg;2014-04-07;G;Québec, v;120;;63;365;72;1;4;1;0;1;0;30;80;189;3;
619;Charlesbourg;2014-04-07;G;Québec, v;120;;64;364;49;0;6;0;1;1;0;36;69;162;1;
619;Charlesbourg;2014-04-07;G;Québec, v;120;;65;399;63;1;13;3;0;2;0;33;71;186;3;
619;Charlesbourg;2014-04-07;G;Québec, v;120;;66;369;55;2;7;1;0;6;0;37;84;192;1;
619;Charlesbourg;2014-04-07;G;Québec, v;120;;67A;281;69;2;4;0;0;4;0;17;44;140;0;
619;Charlesbourg;2014-04-07;G;Québec, v;120;;67B;241;53;1;0;0;0;1;0;20;49;124;2;
619;Charlesbourg;2014-04-07;G;Québec, v;120;;68;345;52;1;3;0;0;3;0;24;60;143;2;
619;Charlesbourg;2014-04-07;G;Québec, v;120;;69;412;54;2;7;1;0;4;1;37;78;184;3;
619;Charlesbourg;2014-04-07;G;Québec, v;120;;70;363;68;1;9;1;0;3;0;25;101;208;1;
619;Charlesbourg;2014-04-07;G;Québec, v;121;;71A;262;67;2;4;2;0;1;0;18;81;175;3;
619;Charlesbourg;2014-04-07;G;Québec, v;121;;71B;316;63;3;5;2;2;2;0;19;93;189;3;
619;Charlesbourg;2014-04-07;G;Québec, v;121;;72;331;67;0;13;2;0;3;1;24;87;197;0;
619;Charlesbourg;2014-04-07;G;Québec, v;121;;73;352;74;3;9;3;1;6;0;33;57;186;2;
619;Charlesbourg;2014-04-07;G;Québec, v;121;;74;340;63;1;13;2;0;0;0;29;67;175;2;
619;Charlesbourg;2014-04-07;G;Québec, v;121;;75;347;46;0;7;4;0;2;0;39;81;179;2;
619;Charlesbourg;2014-04-07;G;Québec, v;121;;76;352;50;0;12;4;0;0;0;27;91;184;5;
619;Charlesbourg;2014-04-07;G;Québec, v;122;;77;345;52;1;9;1;0;2;0;32;60;157;0;
619;Charlesbourg;2014-04-07;G;Québec, v;122;;78;349;48;4;12;1;0;3;0;22;55;145;4;
619;Charlesbourg;2014-04-07;G;Québec, v;122;;79;386;42;1;5;0;0;0;1;22;51;122;5;
619;Charlesbourg;2014-04-07;G;Québec, v;122;;80;347;84;4;6;1;1;2;0;33;63;194;0;
619;Charlesbourg;2014-04-07;G;Québec, v;122;;81;358;59;4;7;1;0;5;1;22;66;165;3;
619;Charlesbourg;2014-04-07;G;Québec, v;122;;82;323;57;0;10;2;0;2;1;23;65;160;4;
619;Charlesbourg;2014-04-07;G;Québec, v;123;;83;350;74;5;5;5;0;0;1;31;84;205;6;
619;Charlesbourg;2014-04-07;G;Québec, v;123;;84;376;86;1;7;6;0;2;0;22;63;187;2;
619;Charlesbourg;2014-04-07;G;Québec, v;123;;85;378;96;1;4;5;1;1;0;41;83;232;5;
619;Charlesbourg;2014-04-07;G;Québec, v;123;;86;392;67;2;8;4;0;1;0;27;86;195;6;
619;Charlesbourg;2014-04-07;G;Québec, v;123;;87;372;63;2;15;1;0;2;0;37;92;212;0;
619;Charlesbourg;2014-04-07;G;Québec, v;123;;88;361;97;1;7;2;0;3;0;49;67;226;3;
619;Charlesbourg;2014-04-07;G;Québec, v;124;;89;386;93;1;12;3;0;3;0;54;87;253;4;
619;Charlesbourg;2014-04-07;G;Québec, v;124;;90;384;80;1;7;4;0;4;2;39;57;194;0;
619;Charlesbourg;2014-04-07;G;Québec, v;124;;91;394;66;1;11;0;0;1;0;34;62;175;1;
619;Charlesbourg;2014-04-07;G;Québec, v;124;;92;380;74;0;4;0;0;0;0;32;52;162;1;
619;Charlesbourg;2014-04-07;G;Québec, v;124;;93;409;69;2;12;4;1;3;0;30;75;196;6;
619;Charlesbourg;2014-04-07;G;Québec, v;124;;94;385;67;1;13;1;0;1;0;42;78;203;1;
619;Charlesbourg;2014-04-07;G;Québec, v;124;;95;384;60;3;15;0;0;1;1;63;98;241;2;
619;Charlesbourg;2014-04-07;G;Québec, v;125;;96;379;83;1;22;5;0;1;0;43;68;223;1;
619;Charlesbourg;2014-04-07;G;Québec, v;125;;97;397;75;3;11;4;0;2;0;44;74;213;3;
619;Charlesbourg;2014-04-07;G;Québec, v;125;;98;371;67;0;20;3;0;3;0;48;72;213;2;
619;Charlesbourg;2014-04-07;G;Québec, v;125;;99;385;76;3;17;0;0;5;0;41;75;217;1;
619;Charlesbourg;2014-04-07;G;Québec, v;125;;100;396;75;2;11;1;0;0;0;40;82;211;2;
619;Charlesbourg;2014-04-07;G;Québec, v;126;;101;368;74;0;13;2;0;1;0;36;85;211;3;
619;Charlesbourg;2014-04-07;G;Québec, v;126;;102;363;87;0;13;2;0;0;0;38;71;211;1;
619;Charlesbourg;2014-04-07;G;Québec, v;126;;103;369;50;1;12;1;0;3;0;14;79;160;1;
619;Charlesbourg;2014-04-07;G;Québec, v;126;;104;368;44;0;17;3;0;1;0;47;69;181;2;
619;Charlesbourg;2014-04-07;G;Québec, v;126;;105;356;66;2;17;1;0;5;0;55;79;225;2;
619;Charlesbourg;2014-04-07;G;Québec, v;126;;106;366;86;2;8;2;0;1;0;34;90;223;4;
619;Charlesbourg;2014-04-07;G;Québec, v;127;;107;383;86;1;10;2;0;5;0;38;84;226;2;
619;Charlesbourg;2014-04-07;G;Québec, v;127;;108;392;89;0;13;1;1;1;2;43;97;247;4;
619;Charlesbourg;2014-04-07;G;Québec, v;127;;109;389;106;0;14;0;0;1;0;32;92;245;1;
619;Charlesbourg;2014-04-07;G;Québec, v;127;;110;389;102;1;16;1;0;1;0;40;70;231;2;
619;Charlesbourg;2014-04-07;G;Québec, v;127;;111;396;68;1;7;0;0;4;0;22;102;204;2;
619;Charlesbourg;2014-04-07;G;Québec, v;127;;112;377;61;4;11;0;0;4;1;30;90;201;3;
619;Charlesbourg;2014-04-07;G;Québec, v;127;;113;388;66;1;8;3;0;3;0;27;79;187;1;
619;Charlesbourg;2014-04-07;G;Québec, v;128;;114A;235;31;0;4;1;0;3;0;17;43;99;3;
619;Charlesbourg;2014-04-07;G;Québec, v;128;;114B;213;25;0;7;0;0;2;0;13;42;89;2;
619;Charlesbourg;2014-04-07;G;Québec, v;128;;115;347;70;2;11;0;0;0;0;41;94;218;3;
619;Charlesbourg;2014-04-07;G;Québec, v;128;;116;374;111;0;3;3;0;3;0;30;78;228;0;
619;Charlesbourg;2014-04-07;G;Québec, v;128;;117;367;92;0;9;3;0;1;0;26;87;218;1;
619;Charlesbourg;2014-04-07;G;Québec, v;128;;118;341;71;0;13;0;0;1;1;17;74;177;1;
619;Charlesbourg;2014-04-07;G;Québec, v;128;;119;363;79;1;8;1;0;2;0;28;79;198;2;
619;Charlesbourg;2014-04-07;G;Québec, v;128;;120A;222;51;1;4;1;0;0;0;19;40;116;0;
619;Charlesbourg;2014-04-07;G;Québec, v;128;;120B;246;46;0;1;3;0;0;0;12;38;100;3;
619;Charlesbourg;2014-04-07;G;Québec, v;128;;121;350;69;0;6;0;0;2;1;21;62;161;3;
619;Charlesbourg;2014-04-07;G;Québec, v;128;;122;376;96;2;5;2;0;0;0;33;93;231;3;
