Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Andrews Jeremy P.V.Q./G.P.Q.;Campbell Jean-Simon O.N. - P.I.Q.;Cardin Serge P.Q.;Drogue François É.A.P. - P.C.Q.;Fortin Luc P.L.Q./Q.L.P.;Girard Philippe C.A.Q.-É.F.L.;Pigot Hélène Q.S.;Richard Hubert Ind;Roy Jossy B.P.;B.V.;B.R.;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;16;;65A;240;2;1;33;1;48;33;13;0;1;132;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;16;;65B;249;1;1;31;0;42;34;16;0;1;126;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;16;;66;394;0;1;64;1;65;63;27;1;0;222;6;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;16;;67;419;1;1;91;0;94;48;29;0;1;265;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;16;;68;392;3;4;74;0;68;40;15;0;2;206;5;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;17;;69;354;1;5;84;0;49;54;20;0;0;213;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;17;;70;336;3;2;57;1;65;43;24;0;0;195;7;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;17;;71;377;3;2;71;1;56;44;30;0;2;209;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;17;;72;321;4;1;63;0;42;29;32;0;1;172;6;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;18;;73;337;2;2;71;1;39;35;30;0;0;180;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;18;;74;329;0;3;56;1;37;32;37;0;1;167;7;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;18;;75;318;5;6;57;1;38;26;19;0;1;153;5;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;18;;76;336;1;1;48;5;75;36;8;0;0;174;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;18;;77;327;1;2;53;1;42;42;20;0;1;162;4;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;18;;78;338;2;3;60;0;40;36;34;0;1;176;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;19;;79;407;0;2;67;0;48;15;28;2;1;163;7;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;19;;80;346;4;0;41;2;16;23;45;4;2;137;5;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;19;;81;370;5;3;40;0;34;17;34;1;0;134;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;19;;82;426;2;3;40;2;26;27;45;1;1;147;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;19;;83;397;0;1;53;1;25;21;32;0;3;136;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;20;;84;385;0;2;48;0;32;16;23;0;1;122;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;20;;85;460;4;2;42;0;45;21;23;1;2;140;5;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;20;;86;353;0;2;69;1;36;29;26;0;2;165;6;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;20;;87;357;2;0;58;2;51;30;30;1;1;175;7;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;20;;88;358;3;1;60;0;52;23;28;0;0;167;6;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;20;;89;367;2;0;59;6;34;44;25;0;0;170;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;21;;90;360;5;1;42;0;59;37;26;1;0;171;6;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;21;;91;353;2;1;58;0;53;41;18;0;1;174;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;21;;92;356;0;0;43;0;47;25;31;0;1;147;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;21;;93;381;1;1;57;1;59;33;19;0;1;172;6;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;21;;94;341;2;0;53;1;29;28;17;0;0;130;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;21;;95;342;1;2;35;0;37;23;25;0;1;124;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;21;;96;359;0;1;35;0;50;31;23;0;2;142;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;21;;97;369;0;2;49;2;41;21;27;0;2;144;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;22;;98;331;3;3;56;1;26;15;50;1;0;155;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;22;;99;349;3;0;45;1;35;17;36;0;0;137;4;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;22;;100;346;2;0;58;1;34;31;41;1;2;170;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;22;;101;441;3;2;24;1;39;17;16;0;1;103;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;22;;102;409;3;3;70;1;38;39;26;0;0;180;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;22;;103;342;3;4;50;0;39;24;39;0;0;159;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;23;;104;396;2;2;64;1;81;57;31;1;3;242;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;23;;105;376;3;2;52;0;62;38;20;0;0;177;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;23;;106;409;6;3;40;1;57;32;33;0;2;174;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;23;;107;374;2;4;51;0;73;33;23;0;1;187;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;23;;108;407;1;3;31;0;59;26;14;2;1;137;6;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;24;;109;419;3;1;72;2;83;41;25;0;0;227;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;24;;110;340;4;1;72;1;63;46;19;0;1;207;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;24;;111;338;1;2;51;3;73;40;17;1;3;191;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;24;;112;363;0;2;37;2;71;40;26;0;3;181;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;24;;113;365;4;4;40;0;49;34;17;0;0;148;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;24;;114;345;0;0;73;1;68;44;16;0;1;203;4;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;24;;115;354;0;1;69;0;63;49;17;0;1;200;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;25;;116;356;0;2;25;3;14;11;23;1;0;79;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;25;;117;347;4;2;38;1;56;28;38;0;1;168;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;25;;118;368;3;2;87;1;58;27;29;0;0;207;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;25;;119;363;2;3;73;0;79;41;27;0;0;225;4;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;25;;120;373;3;2;70;0;79;40;25;0;0;219;4;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;25;;121;365;1;1;86;1;74;39;30;0;0;232;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;25;;122;395;0;3;72;1;79;75;25;0;0;255;6;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;26;;123;418;0;4;73;2;98;57;23;0;0;257;4;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;26;;124;416;0;0;72;1;93;72;18;0;0;256;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;26;;125A;202;1;1;58;1;70;58;19;0;1;209;5;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;26;;125B;268;0;2;31;0;22;25;10;0;1;91;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;26;;126A;200;2;2;29;1;48;31;14;0;1;128;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;26;;126B;227;0;1;46;1;29;34;11;0;0;122;0;
