Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;De Bellefeuille Julie É.A.P. - P.C.Q.;de Repentigny Yves P.Éq.;Haliburton Victoria P.V.Q./G.P.Q.;Larocque Sylvain Ind;Leclair Guy P.Q.;Lemieux Lyse P.L.Q./Q.L.P.;Moreau Claude C.A.Q.-É.F.L.;Rousseau Florence O.N. - P.I.Q.;St-Onge Pierre-Paul Q.S.;B.V.;B.R.;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;11;;76;307;2;0;1;0;52;37;31;0;8;131;5;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;11;;77;311;2;0;1;0;56;52;31;3;7;152;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;12;;78;346;2;0;1;2;73;33;49;0;10;170;3;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;12;;79;308;1;0;1;1;63;42;34;1;16;159;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;12;;80;307;2;0;1;1;61;41;36;2;12;156;7;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;12;;81;354;0;0;0;0;62;21;23;0;12;118;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;12;;82;320;1;0;1;0;61;30;26;2;8;129;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;12;;83;320;4;0;1;0;73;44;48;1;19;190;0;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;13;;84;339;1;0;1;0;58;37;30;0;16;143;3;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;13;;85;520;1;1;1;1;47;54;47;1;18;171;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;13;;86;456;5;0;3;1;64;44;53;3;10;183;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;13;;87;393;5;1;0;0;49;53;69;1;18;196;3;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;13;;88;316;1;0;1;0;70;46;52;4;20;194;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;13;;89;316;2;2;2;1;87;52;35;1;11;193;7;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;13;;90;323;4;2;3;1;75;53;45;2;17;202;5;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;13;;91;325;3;0;1;0;67;46;45;4;10;176;7;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;13;;92;330;3;0;1;5;53;44;45;1;8;160;6;
