Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cousineau Claude P.Q.;Dubé Patrick P.N.;Leblond Isabelle P.L.Q./Q.L.P.;Massicotte Diane O.N. - P.I.Q.;Mayer Lucie Q.S.;Milot Robert C.A.Q.-É.F.L.;Roy Mario Ind;B.V.;B.R.;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;3;;100;318;56;1;31;2;20;48;0;158;4;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;3;;101;315;39;1;21;2;12;60;1;136;3;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;3;;102;326;51;2;22;1;19;50;0;145;5;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;3;;103;293;44;3;22;1;20;34;0;124;5;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;3;;104;290;59;1;20;0;10;41;3;134;2;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;3;;105;299;55;3;26;0;13;40;2;139;3;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;3;;106;286;53;1;21;0;12;36;0;123;2;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;3;;107;288;50;2;28;1;15;30;0;126;5;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;3;;108;329;33;0;49;0;18;51;1;152;4;
525;Bertrand;2014-04-07;G;Piedmont, m;1;;109;364;36;0;53;3;9;47;0;148;3;
525;Bertrand;2014-04-07;G;Piedmont, m;1;;110;346;28;2;61;0;6;60;0;157;0;
525;Bertrand;2014-04-07;G;Piedmont, m;1;;111;386;41;0;42;0;10;58;1;152;2;
525;Bertrand;2014-04-07;G;Piedmont, m;1;;112;315;36;0;47;0;7;52;0;142;1;
525;Bertrand;2014-04-07;G;Piedmont, m;1;;113;331;35;4;47;1;12;43;0;142;2;
525;Bertrand;2014-04-07;G;Piedmont, m;1;;114;347;48;2;37;0;9;54;0;150;1;
525;Bertrand;2014-04-07;G;Piedmont, m;1;;115;347;45;2;31;0;10;57;1;146;0;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;116;328;20;0;66;0;5;51;0;142;3;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;117;329;40;0;34;0;4;59;0;137;0;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;118;295;36;1;39;1;10;40;0;127;0;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;119;328;46;1;51;0;15;38;0;151;0;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;120;357;32;1;33;0;9;37;0;112;0;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;121;311;22;0;25;0;2;24;0;73;0;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;122;315;42;0;41;0;8;46;0;137;1;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;123;395;26;0;40;1;0;60;0;127;1;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;124;467;41;0;65;0;10;44;0;160;4;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;125;320;38;1;50;0;7;43;0;139;3;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;126;307;44;1;36;0;8;33;0;122;2;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;127;287;21;1;45;1;1;66;0;135;0;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;128;326;48;2;40;0;7;54;0;151;1;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;129;360;39;1;42;0;7;45;0;134;0;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;130;328;45;0;51;1;8;52;0;157;1;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;131;332;37;2;41;2;10;58;2;152;1;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;132;324;51;0;39;1;10;59;0;160;0;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;133;359;37;3;42;1;14;46;1;144;4;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;134;330;40;0;42;0;11;47;0;140;2;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;135;320;49;1;29;0;10;39;0;128;0;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;136;313;47;0;42;0;8;51;0;148;3;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;137;324;34;0;51;0;5;41;1;132;5;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;138;326;43;2;54;0;6;49;0;154;1;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;139;294;37;0;27;0;2;38;0;104;2;
525;Bertrand;2014-04-07;G;Saint-Sauveur, v;1;;140;322;58;1;67;0;5;43;0;174;1;
525;Bertrand;2014-04-07;G;Sainte-Anne-des-Lacs, p;1;;141;368;50;3;59;1;19;56;0;188;0;
525;Bertrand;2014-04-07;G;Sainte-Anne-des-Lacs, p;1;;142;361;62;2;48;0;15;63;0;190;2;
