Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blouin Nadia Q.S.;Cadieux Denis M.P.Q.;de la Sablonnière Luc C.A.Q.-É.F.L.;Grégoire-Gauthier Annie O.N. - P.I.Q.;Leblanc Rodrigue Ind;Lessard Laurent P.L.Q./Q.L.P.;Mathieu Kaven P.Q.;Rancourt Sylvain É.A.P. - P.C.Q.;B.V.;B.R.;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Pierre-de-Broughton, m;1;;56;334;17;1;65;1;0;90;22;0;196;2;
289;Lotbinière-Frontenac;2014-04-07;G;East Broughton, m;1;;57;362;2;1;36;1;0;97;37;1;175;4;
289;Lotbinière-Frontenac;2014-04-07;G;East Broughton, m;1;;58;370;3;0;54;0;1;89;21;5;173;1;
289;Lotbinière-Frontenac;2014-04-07;G;East Broughton, m;1;;59;362;7;0;60;2;0;83;25;3;180;2;
289;Lotbinière-Frontenac;2014-04-07;G;East Broughton, m;1;;60;374;4;0;54;1;1;119;17;2;198;1;
289;Lotbinière-Frontenac;2014-04-07;G;East Broughton, m;1;;61;343;5;0;35;0;0;85;23;0;148;3;
289;Lotbinière-Frontenac;2014-04-07;G;Sacré-Coeur-de-Jésus, p;1;;62;393;10;0;61;1;1;126;39;2;240;3;
289;Lotbinière-Frontenac;2014-04-07;G;Adstock, m;1;;63;402;7;0;72;0;2;135;34;3;253;5;
289;Lotbinière-Frontenac;2014-04-07;G;Adstock, m;1;;64;318;4;1;56;2;2;121;11;1;198;0;
289;Lotbinière-Frontenac;2014-04-07;G;Adstock, m;1;;65;327;6;1;44;1;0;130;16;0;198;0;
289;Lotbinière-Frontenac;2014-04-07;G;Adstock, m;1;;66;314;4;0;60;0;0;109;23;1;197;2;
289;Lotbinière-Frontenac;2014-04-07;G;Adstock, m;1;;67A;211;3;0;34;0;0;63;19;2;121;3;
289;Lotbinière-Frontenac;2014-04-07;G;Adstock, m;1;;67B;212;2;0;27;1;0;52;24;0;106;1;
289;Lotbinière-Frontenac;2014-04-07;G;Adstock, m;1;;68;326;7;1;52;4;0;115;40;2;221;5;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Joseph-de-Coleraine, m;1;;69;347;6;0;47;1;1;61;48;1;165;1;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Joseph-de-Coleraine, m;1;;70;355;6;0;40;2;0;65;26;1;140;4;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Joseph-de-Coleraine, m;1;;71;340;5;0;52;0;0;47;28;1;133;2;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Joseph-de-Coleraine, m;1;;72;355;5;0;38;0;1;74;27;0;145;4;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Jacques-le-Majeur-de-Wolfestown, p;1;;73;156;16;0;33;0;1;51;18;1;120;1;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Fortunat, m;1;;74;218;16;0;34;0;1;69;44;0;164;1;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Julien, m;1;;75;309;13;2;52;1;0;76;39;0;183;4;
289;Lotbinière-Frontenac;2014-04-07;G;Irlande, m;1;;76;360;15;0;81;3;1;62;26;0;188;0;
289;Lotbinière-Frontenac;2014-04-07;G;Irlande, m;1;;77;365;6;1;67;0;0;66;46;1;187;3;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Adrien-d'Irlande, m;1;;78;287;2;0;43;2;1;85;24;0;157;4;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Jean-de-Brébeuf, m;1;;79;284;7;1;61;1;0;114;21;0;205;0;
289;Lotbinière-Frontenac;2014-04-07;G;Kinnear's Mills, m;1;;80;290;3;0;59;0;0;84;30;7;183;3;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Jacques-de-Leeds, m;1;;81;269;7;1;70;1;0;93;19;3;194;2;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Jacques-de-Leeds, m;1;;82;268;12;1;69;0;0;98;16;4;200;0;
289;Lotbinière-Frontenac;2014-04-07;G;Sainte-Agathe-de-Lotbinière, m;1;;83;316;4;1;79;0;0;97;29;3;213;3;
289;Lotbinière-Frontenac;2014-04-07;G;Sainte-Agathe-de-Lotbinière, m;1;;84;311;0;1;74;1;2;110;30;6;224;1;
289;Lotbinière-Frontenac;2014-04-07;G;Sainte-Agathe-de-Lotbinière, m;1;;85;304;11;0;88;0;2;99;17;2;219;2;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Sylvestre, m;1;;86;384;11;0;84;1;1;138;23;2;260;3;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Sylvestre, m;1;;87;400;14;0;49;0;0;123;34;2;222;2;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Patrice-de-Beaurivage, m;1;;88;274;7;0;65;0;0;71;12;1;156;4;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Patrice-de-Beaurivage, m;1;;89;293;5;0;55;1;0;111;14;3;189;2;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Patrice-de-Beaurivage, m;1;;90;273;7;1;60;1;1;71;14;2;157;0;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Narcisse-de-Beaurivage, p;1;;91;268;4;0;76;0;2;94;12;4;192;1;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Narcisse-de-Beaurivage, p;1;;92;288;5;0;92;1;1;112;11;3;225;2;
