Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bolduc Olivier Q.S.;Cloutier Benoit É.A.P. - P.C.Q.;Gagné Dave P.S.P.;Lévesque-Morin Alexis O.N. - P.I.Q.;Paré Catherine P.Q.;Picard Marc C.A.Q.-É.F.L.;Vaillancourt Ghyslain P.L.Q./Q.L.P.;B.V.;B.R.;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;83;312;7;2;0;3;8;99;69;188;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;84;325;3;3;1;0;12;96;66;181;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;85A;214;7;1;0;0;17;93;42;160;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;85B;323;8;0;2;0;13;78;88;189;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;86;338;8;3;0;0;12;120;60;203;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;87;318;11;1;1;3;20;83;59;178;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;88;279;9;1;1;2;28;83;33;157;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;89;290;6;1;2;3;21;67;80;180;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;90;318;9;1;0;0;25;111;64;210;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;91;326;8;6;0;0;28;108;63;213;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;92A;188;2;3;0;0;13;48;31;97;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;92B;273;8;1;2;1;17;66;59;154;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;93;326;7;1;0;1;23;91;39;162;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;9;;94;317;10;3;1;2;16;66;48;146;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;9;;95;297;7;1;2;1;16;100;52;179;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;9;;96;307;17;0;1;2;35;72;38;165;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;9;;97;294;8;1;4;2;27;59;57;158;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;9;;98;274;7;1;4;1;20;59;40;132;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;9;;99;329;31;1;1;1;29;98;33;194;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;9;;100;363;18;1;0;1;19;78;37;154;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;9;;101;302;20;2;1;0;19;64;37;143;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;9;;102;277;9;2;1;1;22;62;51;148;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;9;;103;307;8;2;0;3;28;83;46;170;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;10;;104;408;7;2;0;1;22;64;57;153;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;10;;105;325;9;4;0;0;32;100;49;194;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;10;;106;290;15;0;2;0;24;60;49;150;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;10;;107;288;19;3;2;2;26;86;49;187;0;
