Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boily Étienne O.N. - P.I.Q.;Boyer Jean-Marc Ind;Demers Andréanne P.V.Q./G.P.Q.;Dydzak Joseph C.A.Q.-É.F.L.;Moran Janina Q.S.;Poirier Jean P.Q.;Robert Alain É.A.P. - P.C.Q.;Rousselle Jean P.L.Q./Q.L.P.;B.V.;B.R.;
449;Vimont;2014-04-07;G;Laval, v;71;;65;386;1;1;5;46;13;52;0;95;213;2;
449;Vimont;2014-04-07;G;Laval, v;71;;66;377;3;0;3;56;20;58;2;109;251;2;
449;Vimont;2014-04-07;G;Laval, v;71;;67;383;1;0;3;38;10;63;0;81;196;5;
449;Vimont;2014-04-07;G;Laval, v;71;;68;382;0;0;2;47;5;30;0;115;199;1;
449;Vimont;2014-04-07;G;Laval, v;72;;69;408;1;0;0;49;5;44;1;159;259;4;
449;Vimont;2014-04-07;G;Laval, v;72;;70;407;0;1;2;56;19;63;1;126;268;4;
449;Vimont;2014-04-07;G;Laval, v;72;;71;408;0;0;3;32;12;56;0;138;241;4;
449;Vimont;2014-04-07;G;Laval, v;72;;72;405;1;0;3;71;18;61;3;113;270;8;
449;Vimont;2014-04-07;G;Laval, v;72;;73;415;1;1;2;67;13;58;1;126;269;1;
449;Vimont;2014-04-07;G;Laval, v;72;;74;415;2;0;2;52;13;52;0;152;273;2;
449;Vimont;2014-04-07;G;Laval, v;72;;75;411;2;1;7;69;11;63;0;128;281;4;
449;Vimont;2014-04-07;G;Laval, v;72;;76;414;2;1;2;65;13;60;0;96;239;2;
449;Vimont;2014-04-07;G;Laval, v;72;;77A;194;0;0;2;22;1;31;0;46;102;3;
449;Vimont;2014-04-07;G;Laval, v;72;;77B;235;1;0;3;38;11;30;0;69;152;2;
449;Vimont;2014-04-07;G;Laval, v;72;;78;450;0;0;2;56;17;63;0;111;249;0;
449;Vimont;2014-04-07;G;Laval, v;73;;79;352;0;3;1;48;4;50;0;75;181;6;
449;Vimont;2014-04-07;G;Laval, v;73;;80;362;2;2;1;42;6;55;0;79;187;2;
449;Vimont;2014-04-07;G;Laval, v;73;;81;361;0;1;4;57;15;52;0;103;232;5;
449;Vimont;2014-04-07;G;Laval, v;73;;82;365;1;1;6;50;13;84;0;90;245;5;
449;Vimont;2014-04-07;G;Laval, v;73;;83;364;0;1;4;39;9;69;1;89;212;2;
449;Vimont;2014-04-07;G;Laval, v;73;;84;371;2;0;5;53;16;58;0;95;229;2;
449;Vimont;2014-04-07;G;Laval, v;73;;85;363;0;0;2;53;16;65;1;83;220;5;
449;Vimont;2014-04-07;G;Laval, v;73;;86;365;2;1;4;60;13;50;1;70;201;4;
