Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charbonneau Patrice C.A.Q.-É.F.L.;Dubois Armand P.L.Q./Q.L.P.;Lemay-Thivierge Vincent Q.S.;Morin Bruno É.A.P. - P.C.Q.;Péladeau Pierre Karl P.Q.;Trottier-Kavanagh Mathieu O.N. - P.I.Q.;B.V.;B.R.;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;17;;126;340;37;27;27;1;50;0;142;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;17;;127;345;33;25;27;1;56;1;143;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;17;;128;332;53;29;26;1;44;1;154;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;17;;129;310;20;24;19;1;49;1;114;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;17;;130;326;54;24;19;0;56;1;154;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;18;;131;344;55;15;16;0;61;1;148;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;18;;132;296;18;17;1;0;27;0;63;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;18;;133;292;19;18;5;2;20;0;64;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;18;;134;298;26;12;6;1;27;0;72;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;18;;135;274;31;16;17;1;37;0;102;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;18;;136;304;17;22;9;0;34;0;82;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;19;;137;275;26;9;13;1;29;0;78;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;19;;138;294;41;19;15;1;49;0;125;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;19;;139;271;65;19;17;0;49;3;153;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;19;;140;311;32;18;10;0;51;2;113;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;20;;141;312;46;23;16;2;58;0;145;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;20;;142;405;49;29;19;0;57;0;154;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;20;;143;316;57;29;15;1;69;0;171;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;20;;144;277;46;21;14;0;51;0;132;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;20;;145;302;50;24;22;0;50;1;147;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;20;;146;315;64;19;18;0;54;1;156;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;21;;147;332;72;17;29;0;56;1;175;3;
