Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourgeois Guy P.L.Q./Q.L.P.;Dufour Valérie Q.S.;Larouche Élizabeth P.Q.;Martel Sylvain C.A.Q.-É.F.L.;Perron-Tellier Maxym É.A.P. - P.C.Q.;Trudel Richard O.N. - P.I.Q.;B.V.;B.R.;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;9;;81;288;45;16;55;27;0;0;143;3;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;9;;82;175;31;6;23;14;1;1;76;0;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;10;;83;239;40;11;43;22;1;3;120;2;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;10;;84;269;23;7;28;34;1;1;94;0;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;10;;85;220;30;2;39;33;2;0;106;4;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;10;;86;294;38;12;28;13;0;1;92;3;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;10;;87;238;23;13;28;17;0;0;81;7;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;10;;88;278;32;7;27;31;1;4;102;2;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;10;Regr. BVO-88;89;0;0;0;0;0;0;0;0;0;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;11;;90;354;34;9;39;15;1;2;100;4;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;11;Regr. BVO-92;91;0;0;0;0;0;0;0;0;0;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;11;;92;352;30;8;31;27;2;1;99;1;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;11;;93;323;73;10;43;33;2;2;163;1;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;11;;94;308;78;4;35;37;0;1;155;3;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;11;;95;313;54;15;38;37;1;3;148;7;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;11;;96;332;84;7;41;33;0;1;166;3;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;11;;97;191;35;6;38;29;0;0;108;0;
