Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchamp Jonathan O.N. - P.I.Q.;Gagné Christine P.N.;Iraca Alexandre P.L.Q./Q.L.P.;Langelier René C.A.Q.-É.F.L.;Primeau Jean-Francois P.Q.;Sarazin Marc Q.S.;B.V.;B.R.;
553;Papineau;2014-04-07;G;Gatineau, v;52;;74;378;0;4;79;32;37;12;164;3;
553;Papineau;2014-04-07;G;Gatineau, v;52;;75;298;0;2;77;25;54;9;167;0;
553;Papineau;2014-04-07;G;Gatineau, v;52;;76;293;2;5;71;25;23;14;140;2;
553;Papineau;2014-04-07;G;Gatineau, v;52;;77;398;0;2;101;32;57;15;207;5;
553;Papineau;2014-04-07;G;Gatineau, v;53;;78;287;1;3;60;21;28;7;120;0;
553;Papineau;2014-04-07;G;Gatineau, v;53;;79;305;0;1;69;21;24;8;123;2;
553;Papineau;2014-04-07;G;Gatineau, v;53;;80A;258;0;2;59;36;20;8;125;2;
553;Papineau;2014-04-07;G;Gatineau, v;53;;80B;226;1;2;54;18;31;7;113;0;
553;Papineau;2014-04-07;G;Gatineau, v;53;;81;282;0;3;55;21;31;10;120;1;
553;Papineau;2014-04-07;G;Gatineau, v;53;;82;292;0;3;64;26;36;13;142;2;
553;Papineau;2014-04-07;G;Gatineau, v;53;;83;284;3;0;68;31;25;10;137;1;
553;Papineau;2014-04-07;G;Gatineau, v;53;;84;305;2;0;69;29;38;23;161;0;
553;Papineau;2014-04-07;G;Gatineau, v;53;;85;365;1;4;67;34;33;13;152;3;
553;Papineau;2014-04-07;G;Gatineau, v;53;;86;274;1;3;70;28;24;2;128;1;
553;Papineau;2014-04-07;G;Gatineau, v;53;;87;294;0;1;94;33;38;8;174;4;
553;Papineau;2014-04-07;G;Gatineau, v;53;;88;278;1;1;70;18;44;22;156;3;
553;Papineau;2014-04-07;G;Gatineau, v;53;;89;292;0;1;83;17;27;14;142;0;
553;Papineau;2014-04-07;G;Gatineau, v;53;;90;312;0;1;86;25;31;11;154;3;
553;Papineau;2014-04-07;G;Gatineau, v;53;;91;291;0;3;73;11;26;12;125;0;
553;Papineau;2014-04-07;G;Gatineau, v;53;;92;294;0;1;72;23;26;7;129;2;
553;Papineau;2014-04-07;G;Gatineau, v;54;;93;292;0;1;37;13;12;5;68;0;
553;Papineau;2014-04-07;G;Gatineau, v;54;;94;278;1;2;30;9;19;7;68;1;
553;Papineau;2014-04-07;G;Gatineau, v;54;;95;281;0;1;41;20;13;10;85;0;
553;Papineau;2014-04-07;G;Gatineau, v;54;;96;282;3;3;55;13;31;5;110;0;
553;Papineau;2014-04-07;G;Gatineau, v;54;;97;332;2;1;46;25;23;6;103;2;
553;Papineau;2014-04-07;G;Gatineau, v;54;;98;337;1;4;83;17;24;8;137;2;
553;Papineau;2014-04-07;G;Gatineau, v;54;;99;259;0;2;47;23;39;7;118;0;
553;Papineau;2014-04-07;G;Gatineau, v;54;;100;291;1;4;36;21;26;9;97;1;
553;Papineau;2014-04-07;G;Gatineau, v;54;;101A;323;0;1;57;13;31;11;113;2;
553;Papineau;2014-04-07;G;Gatineau, v;54;;101B;253;0;4;50;24;26;7;111;2;
553;Papineau;2014-04-07;G;Gatineau, v;54;;101C;294;0;0;49;11;24;8;92;0;
553;Papineau;2014-04-07;G;Gatineau, v;55;;102;314;0;2;72;8;27;18;127;1;
553;Papineau;2014-04-07;G;Gatineau, v;55;;103;315;1;4;75;17;21;3;121;1;
553;Papineau;2014-04-07;G;Gatineau, v;55;;104;303;1;2;74;6;31;5;119;2;
553;Papineau;2014-04-07;G;Gatineau, v;55;;105;298;0;0;55;10;39;10;114;1;
553;Papineau;2014-04-07;G;Gatineau, v;55;;106;296;1;2;50;4;17;13;87;4;
553;Papineau;2014-04-07;G;L'Ange-Gardien, m;1;;107;274;0;0;79;23;25;5;132;1;
553;Papineau;2014-04-07;G;L'Ange-Gardien, m;1;;108;330;0;1;101;17;31;10;160;2;
553;Papineau;2014-04-07;G;L'Ange-Gardien, m;1;;109;274;0;0;72;12;27;11;122;2;
553;Papineau;2014-04-07;G;L'Ange-Gardien, m;1;;110;325;1;1;89;13;25;23;152;2;
553;Papineau;2014-04-07;G;L'Ange-Gardien, m;1;;111;337;2;3;73;21;21;19;139;2;
553;Papineau;2014-04-07;G;L'Ange-Gardien, m;1;;112;321;0;1;81;25;36;13;156;0;
553;Papineau;2014-04-07;G;L'Ange-Gardien, m;1;;113;393;2;1;85;33;55;15;191;1;
553;Papineau;2014-04-07;G;L'Ange-Gardien, m;1;;114A;253;1;5;70;21;27;6;130;0;
553;Papineau;2014-04-07;G;L'Ange-Gardien, m;1;;114B;230;0;5;61;20;27;5;118;0;
553;Papineau;2014-04-07;G;L'Ange-Gardien, m;1;;115;303;1;4;85;22;33;20;165;0;
553;Papineau;2014-04-07;G;L'Ange-Gardien, m;1;;116;321;1;3;90;47;37;16;194;1;
553;Papineau;2014-04-07;G;L'Ange-Gardien, m;1;;117;292;2;3;92;21;33;6;157;2;
553;Papineau;2014-04-07;G;L'Ange-Gardien, m;1;;118;317;1;7;88;30;35;6;167;1;
553;Papineau;2014-04-07;G;Notre-Dame-de-la-Salette, m;1;;119;283;1;1;81;22;41;17;163;2;
553;Papineau;2014-04-07;G;Notre-Dame-de-la-Salette, m;1;;120;302;2;1;86;22;29;7;147;1;
553;Papineau;2014-04-07;G;Bowman, m;1;;121;275;1;3;71;18;33;1;127;0;
553;Papineau;2014-04-07;G;Bowman, m;1;;122;260;0;0;68;21;20;4;113;1;
553;Papineau;2014-04-07;G;Val-des-Bois, m;1;;123;330;0;1;78;37;37;8;161;6;
553;Papineau;2014-04-07;G;Val-des-Bois, m;1;;124;369;2;3;67;37;47;10;166;1;
553;Papineau;2014-04-07;G;Mulgrave-et-Derry, m;1;;125;135;0;1;40;12;17;2;72;1;
553;Papineau;2014-04-07;G;Mulgrave-et-Derry, m;1;;126;158;0;0;93;4;2;3;102;0;
553;Papineau;2014-04-07;G;Mayo, m;1;;127;189;0;0;70;14;18;3;105;0;
553;Papineau;2014-04-07;G;Mayo, m;1;;128;268;1;3;106;26;29;9;174;0;
553;Papineau;2014-04-07;G;Lochaber-Partie-Ouest, ct;1;;129;377;0;4;84;23;41;9;161;1;
553;Papineau;2014-04-07;G;Lochaber-Partie-Ouest, ct;1;;130;256;0;4;66;11;27;13;121;0;
553;Papineau;2014-04-07;G;Thurso, v;1;;131;309;1;3;44;28;46;7;129;0;
553;Papineau;2014-04-07;G;Thurso, v;1;;132;243;5;1;43;9;30;6;94;0;
