Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bolduc Vincent C.A.Q.-É.F.L.;Bureau-Blouin Léo P.Q.;Chatel-Launay Nicolas Q.S.;McKenna Léo P.V.Q./G.P.Q.;Polo Saul P.L.Q./Q.L.P.;Voyer David O.N. - P.I.Q.;B.V.;B.R.;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;50;;103;377;44;71;11;2;70;0;198;5;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;51;;104;378;57;67;10;6;64;0;204;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;51;;105;371;41;44;8;2;93;0;188;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;51;;106;387;32;52;9;5;59;1;158;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;51;;107A;197;19;29;7;2;34;1;92;11;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;51;;107B;229;21;25;9;0;111;0;166;5;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;51;;108;385;17;48;16;0;52;1;134;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;51;;109;416;46;58;9;2;123;0;238;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;51;;110;372;47;80;12;2;73;0;214;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;51;;111;391;39;71;23;5;91;2;231;6;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;51;;112;376;52;71;8;8;99;1;239;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;52;;113;394;43;62;4;2;78;1;190;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;52;;114;402;48;65;6;1;135;0;255;5;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;52;;115;379;47;71;5;1;117;0;241;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;52;;116;395;49;77;16;3;113;0;258;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;52;;117;412;46;76;15;3;70;1;211;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;52;;118;407;40;85;23;7;88;0;243;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;52;;119;409;31;102;17;8;62;2;222;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;53;;120;339;30;65;15;3;59;4;176;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;53;;121;324;31;71;12;4;45;1;164;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;53;;122;355;26;62;9;4;70;2;173;1;
