Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dean Marc P.Q.;Fillion Mathieu O.N. - P.I.Q.;Huot Patrick P.L.Q./Q.L.P.;Lévesque Sylvain C.A.Q.-É.F.L.;Martin Jean-Alex É.A.P. - P.C.Q.;Voisine Monique Q.S.;B.V.;B.R.;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;133;308;27;8;56;54;4;14;163;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;134;300;30;1;70;56;1;5;163;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;135;303;26;3;66;83;4;4;186;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;136;319;15;1;64;97;3;4;184;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;137;323;14;1;76;71;6;5;173;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;138;321;18;1;62;79;6;15;181;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;139;326;23;4;88;86;6;5;212;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;91;;140;303;16;1;69;66;2;2;156;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;91;;141;291;14;0;39;79;2;7;141;8;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;91;;142;299;21;2;84;65;0;6;178;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;91;;143;306;15;1;48;56;2;9;131;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;91;;144;281;10;0;35;28;2;3;78;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;91;;145;321;11;1;58;72;1;4;147;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;91;;146;311;22;3;74;70;1;5;175;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;91;;147;319;22;1;42;66;4;9;144;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;91;;148;358;11;3;43;53;1;7;118;3;
