Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chalhoub Claude É.A.P. - P.C.Q.;Cloutier Claudia C.A.Q.-É.F.L.;Laberge Xavier P.- Q.S.;Mailly François U.C.Q./Q.C.U.;Masse Vincent O.N. - P.I.Q.;Moreau Pierre P.L.Q./Q.L.P.;Pilon Laurent P.Q.;Sullivan Linda P.M.L.Q.;B.V.;B.R.;
173;Châteauguay;2014-04-07;G;Châteauguay, v;13;;93B;256;0;41;9;0;1;72;20;1;144;3;
173;Châteauguay;2014-04-07;G;Kahnawake, ri;1;Regr. BVDS-1;94A;417;0;0;0;0;0;0;0;0;0;0;
173;Châteauguay;2014-04-07;G;Kahnawake, ri;1;Regr. BVDS-1;94B;417;0;0;0;0;0;0;0;0;0;0;
173;Châteauguay;2014-04-07;G;Kahnawake, ri;1;Regr. BVDS-1;94C;417;0;0;0;0;0;0;0;0;0;0;
173;Châteauguay;2014-04-07;G;Kahnawake, ri;1;Regr. BVDS-1;94D;429;0;0;0;0;0;0;0;0;0;0;
173;Châteauguay;2014-04-07;G;Léry, v;1;;95;376;1;69;32;1;0;78;65;0;246;4;
173;Châteauguay;2014-04-07;G;Léry, v;1;;96;366;2;59;23;0;1;85;72;2;244;3;
173;Châteauguay;2014-04-07;G;Léry, v;1;;97;346;1;45;17;1;3;89;50;1;207;2;
173;Châteauguay;2014-04-07;G;Léry, v;1;;98;373;2;54;19;0;1;110;67;1;254;4;
173;Châteauguay;2014-04-07;G;Léry, v;1;;99;353;1;63;17;0;1;99;45;0;226;2;
173;Châteauguay;2014-04-07;G;Mercier, v;1;;100;363;0;53;17;0;0;70;45;2;187;3;
173;Châteauguay;2014-04-07;G;Mercier, v;1;;101;360;0;41;6;1;1;48;55;0;152;6;
173;Châteauguay;2014-04-07;G;Mercier, v;1;;102;347;1;59;12;0;2;45;58;0;177;3;
173;Châteauguay;2014-04-07;G;Mercier, v;1;;103;318;0;48;15;0;1;68;46;0;178;6;
173;Châteauguay;2014-04-07;G;Mercier, v;1;;104A;200;0;41;4;0;0;28;36;0;109;3;
173;Châteauguay;2014-04-07;G;Mercier, v;1;;104B;245;0;56;4;0;0;55;36;0;151;3;
173;Châteauguay;2014-04-07;G;Mercier, v;1;;105;352;0;66;18;1;0;57;49;0;191;2;
173;Châteauguay;2014-04-07;G;Mercier, v;1;;106;341;0;71;11;0;1;54;57;0;194;4;
