Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allen Jamie C.A.Q.-É.F.L.;Comtois-Lussier Michaël P.Q.;Faour Ali Q.S.;Leitao Carlos J P.L.Q./Q.L.P.;Martinova-Croteau Viviane O.N. - P.I.Q.;Mireault Mathieu P.V.Q./G.P.Q.;Popert Patricia É.A.P. - P.C.Q.;B.V.;B.R.;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;18;;29;396;37;38;7;120;0;4;0;206;3;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;18;;30;417;29;24;13;158;0;8;1;233;4;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;18;;31;388;15;28;9;179;1;3;2;237;5;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;18;;32;423;28;38;9;169;2;2;1;249;2;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;18;;33;378;40;17;10;151;3;5;1;227;1;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;18;;34;394;23;13;4;193;0;2;0;235;3;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;19;;35;336;30;13;17;139;1;5;0;205;3;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;19;;36;360;14;18;9;125;3;6;0;175;2;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;19;;37;381;11;8;4;131;0;4;0;158;5;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;19;;38;379;2;10;5;119;0;1;1;138;3;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;19;;39;347;14;7;3;146;1;4;0;175;2;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;19;;40;358;12;10;3;151;0;7;0;183;1;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;19;;41;372;20;13;4;173;1;0;0;211;1;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;19;;42;374;11;5;2;124;0;5;1;148;2;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;20;;43;396;35;10;11;175;0;7;6;244;2;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;20;;44;392;24;25;6;156;0;10;1;222;1;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;20;;45;396;23;18;22;198;0;8;0;269;2;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;20;;46;412;22;25;18;192;0;7;0;264;0;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;20;;47;394;28;14;7;169;2;8;1;229;0;
