Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudin Évelyne O.N. - P.I.Q.;Bolduc Ghislain P.L.Q./Q.L.P.;Boulanger Pierre-Luc C.A.Q.-É.F.L.;Hallé Isabelle P.Q.;Nadeau Ludovick Q.S.;B.V.;B.R.;
103;Mégantic;2014-04-07;G;Beaulac-Garthby, m;1;;71;337;0;72;53;37;9;171;0;
103;Mégantic;2014-04-07;G;Dudswell, m;1;;72;328;1;49;55;54;14;173;5;
103;Mégantic;2014-04-07;G;Dudswell, m;1;;73;317;4;67;48;47;11;177;2;
103;Mégantic;2014-04-07;G;Dudswell, m;1;;74;351;3;75;64;52;20;214;4;
103;Mégantic;2014-04-07;G;Dudswell, m;1;;75;311;2;67;47;64;18;198;2;
103;Mégantic;2014-04-07;G;Bury, m;1;;76;299;3;77;32;62;11;185;3;
103;Mégantic;2014-04-07;G;Bury, m;1;;77;329;3;101;48;47;16;215;3;
103;Mégantic;2014-04-07;G;Bury, m;1;;78;325;1;122;28;34;12;197;5;
103;Mégantic;2014-04-07;G;Saint-Isidore-de-Clifton, m;1;;79;290;0;114;28;33;8;183;1;
103;Mégantic;2014-04-07;G;Saint-Isidore-de-Clifton, m;1;;80;291;0;88;41;32;10;171;0;
103;Mégantic;2014-04-07;G;Disraeli, v;1;;81;305;0;31;49;17;7;104;5;
103;Mégantic;2014-04-07;G;Disraeli, v;1;;82;262;2;51;37;33;6;129;5;
103;Mégantic;2014-04-07;G;Disraeli, v;1;;83;310;4;29;26;31;9;99;0;
103;Mégantic;2014-04-07;G;Disraeli, v;1;;84;283;0;56;34;25;5;120;3;
103;Mégantic;2014-04-07;G;Disraeli, v;1;;85;234;1;22;25;24;7;79;4;
103;Mégantic;2014-04-07;G;Disraeli, v;1;;86;330;2;34;23;33;5;97;1;
103;Mégantic;2014-04-07;G;Disraeli, v;1;;87;290;2;45;50;23;2;122;1;
103;Mégantic;2014-04-07;G;Disraeli, p;1;;88;326;1;42;46;26;7;122;4;
103;Mégantic;2014-04-07;G;Disraeli, p;1;;89;331;0;57;61;34;2;154;2;
103;Mégantic;2014-04-07;G;Disraeli, p;1;;90;255;0;54;40;24;1;119;5;
103;Mégantic;2014-04-07;G;Cookshire-Eaton, v;1;;91;335;2;110;33;44;18;207;1;
103;Mégantic;2014-04-07;G;Cookshire-Eaton, v;1;;92;321;3;72;56;55;20;206;0;
103;Mégantic;2014-04-07;G;Cookshire-Eaton, v;1;;93;370;1;94;74;69;20;258;15;
103;Mégantic;2014-04-07;G;Cookshire-Eaton, v;1;;94;353;1;87;46;38;18;190;1;
103;Mégantic;2014-04-07;G;Cookshire-Eaton, v;1;;95;329;1;136;23;41;28;229;2;
103;Mégantic;2014-04-07;G;Cookshire-Eaton, v;1;;96;327;2;126;42;18;5;193;0;
103;Mégantic;2014-04-07;G;Cookshire-Eaton, v;1;;97;326;2;165;26;31;7;231;0;
103;Mégantic;2014-04-07;G;Cookshire-Eaton, v;1;;98;345;0;75;43;55;12;185;4;
