Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Daniel É.A.P. - P.C.Q.;Côté Catherine Q.S.;Genois Hugues P.Q.;Grimard Stéphanie O.N. - P.I.Q.;Marcotte Jacques C.A.Q.-É.F.L.;Matte Michel P.L.Q./Q.L.P.;B.V.;B.R.;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;85;297;3;9;16;0;71;53;152;0;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;86;360;2;8;9;0;66;55;140;2;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;87;368;2;3;24;1;59;60;149;2;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;88;420;7;6;20;1;112;72;218;0;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;89;298;1;5;16;2;49;50;123;2;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;90;318;3;6;13;1;60;52;135;1;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;91;279;3;4;21;0;70;48;146;3;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;92;389;5;6;10;2;96;55;174;2;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;93;266;5;6;13;2;43;38;107;1;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;94;365;1;8;6;4;99;53;171;3;
599;Portneuf;2014-04-07;G;Pont-Rouge, v;1;;95;347;3;6;19;2;104;37;171;1;
599;Portneuf;2014-04-07;G;Saint-Basile, v;1;;96;265;2;1;10;1;82;92;188;0;
599;Portneuf;2014-04-07;G;Saint-Basile, v;1;;97;301;6;8;26;0;93;108;241;3;
599;Portneuf;2014-04-07;G;Saint-Basile, v;1;;98;387;2;4;13;1;135;121;276;1;
599;Portneuf;2014-04-07;G;Saint-Basile, v;1;;99;286;3;6;16;0;93;88;206;5;
599;Portneuf;2014-04-07;G;Saint-Basile, v;1;;100;323;4;4;23;2;99;85;217;3;
599;Portneuf;2014-04-07;G;Saint-Basile, v;1;;101;319;2;12;35;2;80;75;206;0;
599;Portneuf;2014-04-07;G;Saint-Basile, v;1;;102;259;3;8;24;1;70;66;172;0;
599;Portneuf;2014-04-07;G;Saint-Raymond, v;1;;103;297;0;9;44;3;52;54;162;2;
599;Portneuf;2014-04-07;G;Saint-Raymond, v;1;;104;329;2;6;25;3;73;49;158;4;
599;Portneuf;2014-04-07;G;Saint-Raymond, v;1;;105;301;2;6;16;0;41;75;140;2;
